"X__1"	"ID0"	"Description"	"reaction"	"rxnID"	"reaction_corrected"	"gene"	"ec_uniprot"	"subsystem"	"Reversibility"	"Reversibility_evidences"	"Remark"	"subsystem_standard"	"RHEA_ID"	"RHEA_ID2"	"metnetID"	"metnetID2"	"formula_metnet"	"formula_metnet_balance"	"Equation"	"formula_rhea"
118	"Rh119"	"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial (EC 3.1.2.4) (3-hydroxyisobutyryl-coenzyme A hydrolase) (HIB-CoA hydrolase) (HIBYL-CoA-H) (Mitochondrial small ribosomal subunit protein mS47)"	"3-hydroxy-2-methylpropanoyl-CoA  + H2O <=> 3-hydroxy-2-methylpropanoate  + CoA  + H(+)"	"R03352"	"3-hydroxy-2-methylpropanoyl-CoA + H2O <=> 3-hydroxy-2-methylpropanoate + coenzyme A + H+"	"YDR036C"	"3.1.2.4"	"valine, leucine and isoleucine metabolism"	1	"NA"	"Add new reaction;"	"valine, leucine and isoleucine metabolism"	"rhea:20888"	"NA"	NA	"MNXR108112"	"1 `3-hydroxy-2-methylpropanoyl-CoA` + 1 `H2O` = 1 `H(+)` + 1 `CoA` + 1 `3-hydroxy-2-methylpropanoate`"	"true"	"1 MNXM1034@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM12@MNXD1 + 1 MNXM396@MNXD1"	"3-hydroxy-2-methylpropanoyl-CoA + H2O => 3-hydroxy-2-methylpropanoate + CoA + H(+);3-hydroxy-2-methylpropanoate + CoA + H(+) => 3-hydroxy-2-methylpropanoyl-CoA + H2O"
122	"Rh123"	"Probable alanine aminotransferase (EC 2.6.1.2) (Glutamate pyruvate transaminase) (GPT) (Glutamic--alanine transaminase) (Glutamic--pyruvic transaminase)"	"L-Alanine  + 2-Oxoglutarate <=> Pyruvate  + L-Glutamate"	"R00258"	"L-alanine + 2-oxoglutarate <=> pyruvate + L-glutamate"	"YDR111C"	"2.6.1.2"	"Alanine, aspartate and glutamate metabolism"	1	"NA"	"Add new reaction;"	"sce00250  alanine, aspartate and glutamate metabolism"	"rhea:19453"	"NA"	NA	"MNXR95698"	"1 `2-oxoglutarate` + 1 `L-alanine` = 1 `pyruvate` + 1 `L-glutamate`"	"true"	"1 MNXM20@MNXD1 + 1 MNXM32@MNXD1 = 1 MNXM23@MNXD1 + 1 MNXM89557@MNXD1"	"2-oxoglutarate + L-alanine => L-glutamate + pyruvate;L-glutamate + pyruvate => 2-oxoglutarate + L-alanine"
124	"Rh125"	"Probable amidase (EC 3.5.1.4)"	"(Indol-3-yl)acetamide  + H2O <=> Indole-3-acetate  + Ammonia"	"R03096"	"(Indol-3-yl)acetamide + H2O <=> indole-3-acetate + ammonium"	"YDR242W"	"3.5.1.4"	"Arginine and proline metabolism; Phenylalanine metabolism; Tryptophan metabolism"	1	"NA"	"Add new reaction;"	"sce00330  arginine and proline metabolism;sce00360  phenylalanine metabolism;sce00380  tryptophan metabolism"	"rhea:34371"	"NA"	NA	"MNXR95814"	"1 `NH4(+)` + 1 `(indol-3-yl)acetate` = 1 `H2O` + 1 `indole-3-acetamide`"	"true"	"1 MNXM15@MNXD1 + 1 MNXM383@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM2239@MNXD1"	"H2O + indole-3-acetamide => (indol-3-yl)acetate + NH4(+);(indol-3-yl)acetate + NH4(+) => H2O + indole-3-acetamide"
125	"Rh126"	"Probable amidase (EC 3.5.1.4)"	"4-Guanidinobutanamide  + H2O <=> 4-Guanidinobutanoate  + Ammonia"	"R03180"	"4-guanidinobutanamide + H2O <=> 4-guanidinobutanoic acid + ammonium"	"YDR242W"	"3.5.1.4"	"Arginine and proline metabolism; Phenylalanine metabolism; Tryptophan metabolism"	1	"NA"	"Only merge the gene;"	"sce00330  arginine and proline metabolism;sce00360  phenylalanine metabolism;sce00380  tryptophan metabolism"	"rhea:34375"	"NA"	NA	"MNXR95812"	"1 `4-guanidinobutanoate` + 1 `NH4(+)` = 1 `H2O` + 1 `4-guanidinobutanamide`"	"true"	"1 MNXM1312@MNXD1 + 1 MNXM15@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM2617@MNXD1"	"4-guanidinobutanamide + H2O => 4-guanidinobutanoate + NH4(+);4-guanidinobutanoate + NH4(+) => 4-guanidinobutanamide + H2O"
126	"Rh127"	"Probable amidase (EC 3.5.1.4)"	"Monocarboxylic acid amide  + H2O <=> Carboxylate  + Ammonia"	"R03909"	"Monocarboxylic acid amide + H2O <=> Carboxylate + ammonium"	"YDR242W"	"3.5.1.4"	"Arginine and proline metabolism; Phenylalanine metabolism; Tryptophan metabolism"	1	"NA"	"Add new reaction;"	"sce00330  arginine and proline metabolism;sce00360  phenylalanine metabolism;sce00380  tryptophan metabolism"	"rhea:12020"	"NA"	NA	"MNXR108518"	"1 `NH4(+)` + 1 `a fatty acid` = 1 `H2O` + 1 `a monocarboxylic acid amide`"	"true"	"1 MNXM15@MNXD1 + 1 MNXM72@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM4671@MNXD1"	"a monocarboxylic acid amide + H2O => a monocarboxylate + NH4(+);a monocarboxylate + NH4(+) => a monocarboxylic acid amide + H2O"
127	"Rh128"	"Probable amidase (EC 3.5.1.4)"	"Acrylic acid  + Ammonia <=> Acrylamide  + H2O"	"R05551"	"Acrylic acid + ammonium <=> Acrylamide + H2O"	"YDR242W"	"3.5.1.4"	"Arginine and proline metabolism; Phenylalanine metabolism; Tryptophan metabolism"	1	"NA"	"Add new reaction;"	"sce00330  arginine and proline metabolism;sce00360  phenylalanine metabolism;sce00380  tryptophan metabolism"	"rhea:34367"	"NA"	NA	"MNXR95816"	"1 `acrylate` + 1 `NH4(+)` = 1 `H2O` + 1 `acrylamide`"	"true"	"1 MNXM1368@MNXD1 + 1 MNXM15@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM3208@MNXD1"	"acrylamide + H2O => acrylate + NH4(+);acrylate + NH4(+) => acrylamide + H2O"
129	"Rh130"	"Probable gluconokinase (EC 2.7.1.12) (Gluconate kinase)"	"D-gluconate  + ATP <=> 6-phospho-D-gluconate  + ADP  + H(+)"	"R01737"	"D-gluconate + ATP -> 6-phospho-D-gluconate + ADP + H+"	"YDR248C"	"2.7.1.12"	"Pentose phosphate pathway"	0	"Based on yeastGEM;"	"Add new reaction;"	"sce00030  pentose phosphate pathway"	"rhea:19433"	"NA"	NA	"MNXR100390"	"1 `H(+)` + 1 `6-phospho-D-gluconate` + 1 `ADP` = 1 `ATP` + 1 `D-gluconate`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM325@MNXD1 + 1 MNXM7@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM341@MNXD1"	"D-gluconate + ATP => 6-phospho-D-gluconate + ADP + H(+);6-phospho-D-gluconate + ADP + H(+) => D-gluconate + ATP"
131	"Rh132"	"Probable dolichyl-phosphate-mannose--protein mannosyltransferase 7 (EC 2.4.1.109)"	"Dolichyl phosphate D-mannose  + [Protein]-L-serine <=> Dolichyl phosphate  + 3-O-(alpha-D-Mannosyl)-L-serinyl-[protein]"	"R04072"	"dolichyl D-mannosyl phosphate + [Protein]-L-serine <=> dolichyl phosphate + 3-O-(alpha-D-Mannosyl)-L-serinyl-[protein]"	"YDR307W;YGR199W"	"2.4.1.109"	"Mannose type O-glycan biosynthesis"	1	"NA"	"Related to protein process"	"sce00515  mannose type o-glycan biosynthesis"	"rhea:17377"	"NA"	NA	NA	"[protein]-L-serine + dolichyl beta-D-mannosyl phosphate => O(3)-(alpha-D-mannosyl)-L-seryl-[protein] + dolichyl phosphate + H(+);O(3)-(alpha-D-mannosyl)-L-seryl-[protein] + dolichyl phosphate + H(+) => [protein]-L-serine + dolichyl beta-D-mannosyl phosphate"	"true"	NA	"[protein]-L-serine + dolichyl beta-D-mannosyl phosphate => O(3)-(alpha-D-mannosyl)-L-seryl-[protein] + dolichyl phosphate + H(+);O(3)-(alpha-D-mannosyl)-L-seryl-[protein] + dolichyl phosphate + H(+) => [protein]-L-serine + dolichyl beta-D-mannosyl phosphate"
132	"Rh133"	"Probable dolichyl-phosphate-mannose--protein mannosyltransferase 7 (EC 2.4.1.109)"	"Dolichyl phosphate D-mannose  + [Protein]-L-serine <=> Dolichyl phosphate  + G13027"	"R07620"	"dolichyl D-mannosyl phosphate + [Protein]-L-serine <=> dolichyl phosphate + G13027"	"YDR307W;YGR199W"	"2.4.1.109"	"Mannose type O-glycan biosynthesis"	1	"NA"	"Related to protein process"	"sce00515  mannose type o-glycan biosynthesis"	"NA"	"NA"	"MNXR111222"	"MNXR111222"	"1 `dolichyl phosphate` + 1 `G13027` = 1 `dolichyl D-mannosyl phosphate` + 1 `Protein serine`"	"NA"	"1 MNXM278@MNXD1 + 1 MNXM7893@MNXD1 = 1 MNXM296@MNXD1 + 1 MNXM6406@MNXD1"	NA
133	"Rh134"	"Probable dolichyl-phosphate-mannose--protein mannosyltransferase 7 (EC 2.4.1.109)"	"Dolichyl phosphate D-mannose  + [Protein]-L-threonine <=> Dolichyl phosphate  + 3-O-(alpha-D-Mannosyl)-L-threonyl-[protein]"	"R11399"	"dolichyl D-mannosyl phosphate + [Protein]-L-threonine <=> dolichyl phosphate + 3-O-(alpha-D-Mannosyl)-L-threonyl-[protein]"	"YDR307W;YGR199W"	"2.4.1.109"	"Mannose type O-glycan biosynthesis"	1	"NA"	"Related to protein process"	"sce00515  mannose type o-glycan biosynthesis"	"rhea:53396"	"NA"	"MNXR114696"	"MNXR114696"	"1 `3-O-(alpha-D-Mannosyl)-L-threonyl-[protein]` + 1 `dolichyl phosphate` = 1 `dolichyl D-mannosyl phosphate` + 1 `[Protein]-L-threonine`"	"NA"	"1 MNXM148645@MNXD1 + 1 MNXM278@MNXD1 = 1 MNXM296@MNXD1 + 1 MNXM9057@MNXD1"	"[protein]-L-threonine + dolichyl beta-D-mannosyl phosphate => O(3)-(alpha-D-mannosyl)-L-threonyl-[protein] + dolichyl phosphate + H(+);O(3)-(alpha-D-mannosyl)-L-threonyl-[protein] + dolichyl phosphate + H(+) => [protein]-L-threonine + dolichyl beta-D-mannosyl phosphate"
134	"Rh135"	"Sporulation-specific chitinase 2 (EC 3.2.1.14)"	"Chitin  + H2O <=> N-Acetyl-D-glucosamine  + Chitin"	"R01206"	"chitin + H2O <=> N-Acetyl-D-glucosamine + chitin"	"YDR371W;YLR286C"	"3.2.1.14"	"Amino sugar and nucleotide sugar metabolism"	1	"NA"	"Add new reaction;"	"sce00520  amino sugar and nucleotide sugar metabolism"	"NA"	"NA"	"MNXR106866"	"MNXR106866"	"1 `chitin` + 1 `H2O` = 1 `chitin` + 1 `N-acetyl-D-glucosamine`"	"true"	"1 MNXM1271@MNXD1 + 1 MNXM2@MNXDX = 1 MNXM1271@MNXD2 + 1 MNXM143@MNXDX"	NA
135	"Rh136"	"Sporulation-specific chitinase 2 (EC 3.2.1.14)"	"Chitin  + H2O <=> Chitobiose  + Chitin"	"R02334"	"chitin + H2O <=> Chitobiose + chitin"	"YDR371W;YLR286C"	"3.2.1.14"	"Amino sugar and nucleotide sugar metabolism"	1	"NA"	"Should be added. Can be found in BiGG database: h2o_e + 2.0 chtn_e ⇌ 3.0 HC00822_e"	"sce00520  amino sugar and nucleotide sugar metabolism"	"NA"	"NA"	"MNXR107445"	"MNXR107445"	"1 `chitin` + 1 `H2O` = 1 `chitin` + 1 `N,N'-diacetylchitobiose`"	"true"	"1 MNXM1271@MNXD1 + 1 MNXM2@MNXDX = 1 MNXM1271@MNXD2 + 1 MNXM1680@MNXDX"	NA
138	"Rh139"	"Protein-S-isoprenylcysteine O-methyltransferase (EC 2.1.1.100) (Isoprenylcysteine carboxylmethyltransferase) (Prenylated protein carboxyl methyltransferase) (PPMT) (Prenylcysteine carboxyl methyltransferase) (pcCMT)"	"S-Adenosyl-L-methionine  + Protein C-terminal S-farnesyl-L-cysteine <=> S-Adenosyl-L-homocysteine  + Protein C-terminal S-farnesyl-L-cysteine methyl ester"	"R04496"	"S-adenosyl-L-methionine + Protein C-terminal S-farnesyl-L-cysteine <=> S-adenosyl-L-homocysteine + Protein C-terminal S-farnesyl-L-cysteine methyl ester"	"YDR410C"	"2.1.1.100"	"Terpenoid backbone biosynthesis"	1	"NA"	"Add new reaction;"	"sce00900  terpenoid backbone biosynthesis"	"rhea:21672"	"NA"	NA	NA	"S-adenosyl-L-methionine + [protein]-C-terminal S-[(2E,6E)-farnesyl]-L-cysteine => S-adenosyl-L-homocysteine + [protein]-C-terminal S-[(2E,6E)-farnesyl]-L-cysteine methyl ester;S-adenosyl-L-homocysteine + [protein]-C-terminal S-[(2E,6E)-farnesyl]-L-cysteine methyl ester => S-adenosyl-L-methionine + [protein]-C-terminal S-[(2E,6E)-farnesyl]-L-cysteine"	"true"	NA	"S-adenosyl-L-methionine + [protein]-C-terminal S-[(2E,6E)-farnesyl]-L-cysteine => S-adenosyl-L-homocysteine + [protein]-C-terminal S-[(2E,6E)-farnesyl]-L-cysteine methyl ester;S-adenosyl-L-homocysteine + [protein]-C-terminal S-[(2E,6E)-farnesyl]-L-cysteine methyl ester => S-adenosyl-L-methionine + [protein]-C-terminal S-[(2E,6E)-farnesyl]-L-cysteine"
139	"Rh140"	"Phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI19 (GPI-GlcNAc transferase complex subunit GPI19) (GPI-GnT subunit GPI19) (EC 2.4.1.198)"	"UDP-N-acetyl-D-glucosamine  + 1-Phosphatidyl-D-myo-inositol <=> UDP  + G00143"	"R05916"	"UDP-N-acetyl-alpha-D-glucosamine + 1-phosphatidyl-1D-myo-inositol <=> UDP + G00143"	"YDR437W;YGR216C;YNL038W;YPL076W;YPL175W;YPL096C-A"	"2.4.1.198"	"lycosylphosphatidylinositol (GPI)-anchor biosynthesis"	1	"NA"	"Add new reaction;"	"lycosylphosphatidylinositol (gpi)-anchor biosynthesis"	"NA"	"NA"	"MNXR109940"	"MNXR109940"	"1 `UDP` + 1 `G00143` = 1 `UDP-N-acetyl-alpha-D-glucosamine` + 1 `a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol)`"	"NA"	"1 MNXM17@MNXD1 + 1 MNXM9315@MNXD1 = 1 MNXM47@MNXD1 + 1 MNXM62@MNXD1"	NA
141	"Rh142"	"Endopolyphosphatase (EC 3.6.1.10) (Deoxyadenosine triphosphate phosphohydrolase) (dATP phosphohydrolase) (EC 3.6.1.-) (Exopolyphosphatase) (EC 3.6.1.11) (Phosphate metabolism protein 5)"	"Polyphosphate  + n H2O <=> (n+1) oligophosphate"	"R00001"	"Polyphosphate + n H2O <=> n+1 oligophosphate"	"YDR452W"	"3.6.1.10; 3.6.1.-; 3.6.1.11"	"other"	1	"NA"	"Add new reaction; same to Rh77"	"other"	"rhea:22452"	"NA"	"MNXR106333"	"MNXR126125"	"5 `H(+)` + 6 `phosphate` = 5 `H2O` + 1 `polyphosphate`"	"NA"	"5 MNXM1@MNXD1 + 6 MNXM9@MNXD1 = 5 MNXM2@MNXD1 + 1 MNXM77738@MNXD1"	"n H2O + polyphosphaten+1 => n H(+) + (n+1) phosphate;n H(+) + (n+1) phosphate => n H2O + polyphosphaten+1"
142	"Rh143"	"Endopolyphosphatase (EC 3.6.1.10) (Deoxyadenosine triphosphate phosphohydrolase) (dATP phosphohydrolase) (EC 3.6.1.-) (Exopolyphosphatase) (EC 3.6.1.11) (Phosphate metabolism protein 5)"	"(Polyphosphate)(n)  + H2O <=> (polyphosphate)(n-1)  + phosphate"	"R03042"	"(polyphosphate)(n) + H2O <=> (polyphosphate)(n-1) + phosphate"	"YDR452W"	"3.6.1.10; 3.6.1.-; 3.6.1.11"	"other"	1	"NA"	"Add new reaction; same to Rh77"	"other"	"rhea:21528"	"NA"	"MNXR107906"	"MNXR126084"	"1 `H(+)` + 1 `polyphosphate` + 1 `phosphate` = 1 `H2O` + 1 `polyphosphate`"	"NA"	"1 MNXM1@MNXD1 + 1 MNXM77738@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM77738@MNXD1"	"H2O + polyphosphaten => H(+) + phosphate + polyphosphaten-1;H(+) + phosphate + polyphosphaten-1 => H2O + polyphosphaten"
143	"Rh144"	"Endopolyphosphatase (EC 3.6.1.10) (Deoxyadenosine triphosphate phosphohydrolase) (dATP phosphohydrolase) (EC 3.6.1.-) (Exopolyphosphatase) (EC 3.6.1.11) (Phosphate metabolism protein 5)"	"dATP  + H2O <=> dADP  + phosphate"	"RXN-14214"	"dATP + H2O -> dADP + phosphate"	"YDR452W"	"3.6.1.10; 3.6.1.-; 3.6.1.11"	"other"	0	"Based on yeastGEM;"	"Add new reaction;"	"other"	"rhea:51908"	"RHEA:51908"	NA	"MNXR102042"	"1 `H(+)` + 1 `dADP` + 1 `phosphate` = 1 `H2O` + 1 `dATP`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM374@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM286@MNXD1"	"dATP + H2O => dADP + H(+) + phosphate;dADP + H(+) + phosphate => dATP + H2O"
146	"Rh147"	"Putative glucokinase-2 (EC 2.7.1.2) (Early meiotic induction protein 2) (Glucose kinase 2) (GLK-2)"	"ATP  + D-glucose <=> ADP  + D-glucose 6-phosphate"	"R00299"	"ATP + D-glucose -> ADP + D-glucose 6-phosphate"	"YDR516C"	"2.7.1.2"	"Glycolysis / Gluconeogenesis"	0	"Based on yeastGEM;"	"Add new reaction;"	"sce00010  glycolysis / gluconeogenesis"	"rhea:17825"	"NA"	NA	"MNXR100612"	"1 `H(+)` + 1 `D-glucopyranose 6-phosphate` + 1 `ADP` = 1 `ATP` + 1 `D-glucose`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM160@MNXD1 + 1 MNXM7@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM41@MNXD1"	"D-glucose + ATP => D-glucose 6-phosphate + ADP + H(+);D-glucose 6-phosphate + ADP + H(+) => D-glucose + ATP"
147	"Rh148"	"Glutathione-independent glyoxalase HSP31 (EC 4.2.1.130) (Glyoxalase 3 homolog 1) (Heat shock protein 31)"	"(R)-lactate <=> methylglyoxal  + H2O"	"R09796"	"(R)-lactate <=> methylglyoxal + H2O"	"YDR533C;YMR322C;YOR391C;YPL280W"	"4.2.1.130"	"Methylglyoxal Metabolism"	1	"NA"	"Add new reaction;"	"methylglyoxal metabolism"	"rhea:27754"	"NA"	NA	"MNXR100354"	"1 `H(+)` + 1 `(R)-lactate` = 1 `H2O` + 1 `2-oxopropanal`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM285@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM310@MNXD1"	"2-oxopropanal + H2O => (R)-lactate + H(+);(R)-lactate + H(+) => 2-oxopropanal + H2O"
149	"Rh150"	"Arginyl-tRNA--protein transferase 1 (Arginyltransferase 1) (R-transferase 1) (EC 2.3.2.8) (Arginine-tRNA--protein transferase 1)"	"L-Arginyl-tRNA(Arg)  + Protein <=> tRNA(Arg)  + L-Arginyl-protein"	"R03862"	"Arg-tRNA(Arg) + Protein <=> tRNA(Arg) + L-Arginyl-protein"	"YGL017W"	"2.3.2.8"	"other"	1	"NA"	"Add new reaction;"	"other"	"rhea:10208"	"NA"	"MNXR108483"	"MNXR125588"	"1 `3'-(L-arginyl)adenylyl group` + 1 `N-terminal L-alpha-amino-acid residue` = 1 `H(+)` + 1 `N-terminal L-arginyl-L-alpha-amino acid residue` + 1 `AMP 3'-end residue`"	"true"	"1 MNXM146070@MNXD1 + 1 MNXM162377@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM147209@MNXD1 + 1 MNXM90666@MNXD1"	"L-arginyl-tRNA(Arg) + a [protein] N-terminus => H(+) + N-terminal L-arginyl-L-amino acid-[protein] + tRNA(Arg);H(+) + N-terminal L-arginyl-L-amino acid-[protein] + tRNA(Arg) => L-arginyl-tRNA(Arg) + a [protein] N-terminus"
151	"Rh152"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3 (Oligosaccharyl transferase subunit STT3) (EC 2.4.99.18)"	"Dolichyl diphosphooligosaccharide  + Protein asparagine <=> Dolichyl diphosphate  + Glycoprotein with the oligosaccharide chain attached by N-glycosyl linkage to protein L-asparagine"	"R04216"	"Dolichyl diphosphooligosaccharide + Protein asparagine <=> dolichyl diphosphate + Glycoprotein with the oligosaccharide chain attached by N-glycosyl linkage to protein L-asparagine"	"YGL022W"	"2.4.99.18"	"N-Glycan biosynthesis"	1	"NA"	"Related to protein process"	"sce00510  n-glycan biosynthesis"	"rhea:22980"	"NA"	NA	"MNXR126153"	"1 `H(+)` + 1 `an N(4)-(oligosaccharide-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosaminyl)-L-asparagine residue` + 1 `dolichyl diphosphate` = 1 `L-asparagine residue` + 1 `dolichyl diphosphooligosaccharide`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM163305@MNXD1 + 1 MNXM2370@MNXD1 = 1 MNXM59315@MNXD1 + 1 MNXM96359@MNXD1"	"L-asparaginyl-[protein] + a dolichyl diphosphooligosaccharide => N(4)-(oligosaccharide-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosaminyl)-L-asparaginy-[protein] + dolichyl diphosphate + H(+);N(4)-(oligosaccharide-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosaminyl)-L-asparaginy-[protein] + dolichyl diphosphate + H(+) => L-asparaginyl-[protein] + a dolichyl diphosphooligosaccharide"
152	"Rh153"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3 (Oligosaccharyl transferase subunit STT3) (EC 2.4.99.18)"	"Protein asparagine  + G00008 <=> Dolichyl diphosphate  + G00009"	"R05976"	"Protein asparagine + G00008 <=> dolichyl diphosphate + G00009"	"YGL022W"	"2.4.99.18"	"N-Glycan biosynthesis"	1	"NA"	"Add new reaction;"	"sce00510  n-glycan biosynthesis"	"rhea:50348"	"NA"	"MNXR109968"	"MNXR129096"	"1 `alpha-D-Glc-(1->2)-alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol` + 1 `L-asparagine residue` = 1 `H(+)` + 1 `N(4)-(alpha-D-Glc-(1->2)-alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc)-L-asparaginyl residue` + 1 `dolichyl diphosphate`"	"true"	"1 MNXM147398@MNXD1 + 1 MNXM59315@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM163432@MNXD1 + 1 MNXM2370@MNXD1"	"alpha-D-Glc-(1->2)-alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + L-asparaginyl-[protein] => N(4)-(alpha-D-Glc-(1->2)-alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc)-L-asparaginyl-[protein] + dolichyl diphosphate + H(+);N(4)-(alpha-D-Glc-(1->2)-alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc)-L-asparaginyl-[protein] + dolichyl diphosphate + H(+) => alpha-D-Glc-(1->2)-alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + L-asparaginyl-[protein]"
153	"Rh154"	"Mannosyl-oligosaccharide glucosidase (EC 3.2.1.106) (Processing A-glucosidase I) (Glucosidase I)"	"H2O  + G00009 <=> D-Glucose  + G00171"	"R05979"	"H2O + G00009 <=> D-glucose + G00171"	"YGL027C"	"3.2.1.106"	"N-Glycan biosynthesis"	1	"NA"	"Add new reaction;"	"sce00510  n-glycan biosynthesis"	"NA"	"NA"	"MNXR109970"	"MNXR109970"	"1 `H2O` + 1 `G00009` = 1 `D-glucose` + 1 `G00171`"	"NA"	"1 MNXM2@MNXD1 + 1 MNXM9288@MNXD1 = 1 MNXM41@MNXD1 + 1 MNXM9298@MNXD1"	NA
154	"Rh155"	"Initiation-specific alpha-1,6-mannosyltransferase (EC 2.4.1.232) (Outer chain elongation protein 1)"	"GDP-D-mannose  + G10694 <=> GDP  + G01813"	"R08599"	"GDP-alpha-D-mannose + G10694 <=> GDP + G01813"	"YGL038C"	"2.4.1.232"	"Various types of N-glycan biosynthesis"	1	"NA"	"Add new reaction;"	"sce00513  various types of n-glycan biosynthesis"	"NA"	"NA"	"MNXR112120"	"MNXR112120"	"1 `G01813` + 1 `GDP` = 1 `G10694` + 1 `GDP-alpha-D-mannose`"	"NA"	"1 MNXM13328@MNXD1 + 1 MNXM30@MNXD1 = 1 MNXM7899@MNXD1 + 1 MNXM82@MNXD1"	NA
