"ID0"	"reaction"	"subsystem"	"reaction0"	"rxnID"
"Rh261"	"Sucrose + H2O <=> D-Fructose + D-Glucose"	"Starch and sucrose metabolism"	"sucrose + h2o <=> d-fructose + d-glucose"	"rn:R00801"
"Rh262"	"Isomaltose + H2O <=> alpha-D-Glucose + D-Glucose"	"Starch and sucrose metabolism"	"isomaltose + h2o <=> alpha-d-glucose + d-glucose"	"rn:R01718"
"Rh263"	"Dextrin + H2O <=> D-Glucose + Dextrin"	"Starch and sucrose metabolism"	"dextrin + h2o <=> d-glucose + dextrin"	"rn:R01791"
"Rh264"	"Starch(n+1) + H2O <=> alpha-D-Glucose + Starch(n)"	"Starch and sucrose metabolism"	"starch(n+1) + h2o <=> alpha-d-glucose + starch(n)"	"rn:R06199"
"Rh265"	"Dolichyl D-glucosyl phosphate + G00007 <=> Dolichyl phosphate + G10598"	"N-Glycan biosynthesis"	"dolichyl d-glucosyl phosphate + g00007 <=> dolichyl phosphate + g10598"	"rn:R06262"
"Rh266"	"Dolichyl D-glucosyl phosphate + G10598 <=> Dolichyl phosphate + G10599"	"N-Glycan biosynthesis"	"dolichyl d-glucosyl phosphate + g10598 <=> dolichyl phosphate + g10599"	"rn:R06263"
"Rh267"	"Dolichyl phosphate D-mannose + G00149 <=> Dolichyl phosphate + G00140"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"dolichyl phosphate d-mannose + g00149 <=> dolichyl phosphate + g00140"	"rn:R07129"
"Rh268"	"choline <=> choline"	"choline transport"	"choline <=> choline"	"NA"
"Rh269"	"Protein N6-(octanoyl)lysine + 2 Sulfur donor + 2 S-Adenosyl-L-methionine <=> Protein N6-(lipoyl)lysine + 2 L-Methionine + 2 5'-Deoxyadenosine"	"Lipoic acid metabolism"	"protein n6-(octanoyl)lysine + 2 sulfur donor + 2 s-adenosyl-l-methionine <=> protein n6-(lipoyl)lysine + 2 l-methionine + 2 5'-deoxyadenosine"	"rn:R07767"
"Rh270"	"Octanoyl-[acp] + 2 Sulfur donor + 2 S-Adenosyl-L-methionine <=> Lipoyl-[acp] + 2 L-Methionine + 2 5'-Deoxyadenosine"	"Lipoic acid metabolism"	"octanoyl-[acp] + 2 sulfur donor + 2 s-adenosyl-l-methionine <=> lipoyl-[acp] + 2 l-methionine + 2 5'-deoxyadenosine"	"rn:R07768"
"Rh271"	"an S-sulfanyl-[L-cysteine desulfurase] + a [disordered-form [Fe-S] cluster scaffold protein] => an S-sulfanyl-[cysteine desulfurase]-[disordered-form scaffold protein] complex"	"iron-sulfur cluster biosynthesis"	"an s-sulfanyl-[l-cysteine desulfurase] + a [disordered-form [fe-s] cluster scaffold protein] => an s-sulfanyl-[cysteine desulfurase]-[disordered-form scaffold protein] complex"	"NA"
"Rh272"	"hydrogen cyanide + thiosulfate <=> 2 H(+) + sulfite + thiocyanate"	"Sulfur metabolism"	"hydrogen cyanide + thiosulfate <=> 2 h(+) + sulfite + thiocyanate"	"NA"
"Rh273"	"Mg(2+) + <=> Mg(2+)"	"magnesium transport"	"mg(2+) + <=> mg(2+)"	"NA"
"Rh274"	"a ubiquinone + reduced [electron-transfer flavoprotein] <=> a ubiquinol + H(+) + oxidized [electron-transfer flavoprotein]"	"Respiratory electron transport"	"a ubiquinone + reduced [electron-transfer flavoprotein] <=> a ubiquinol + h(+) + oxidized [electron-transfer flavoprotein]"	"NA"
"Rh275"	"sphingolipid <=> sphingolipid"	"sphingolipid transport"	"sphingolipid <=> sphingolipid"	"NA"
"Rh276"	"UDP-glucose + Dolichyl phosphate <=> UDP + Dolichyl beta-D-glucosyl phosphate"	"N-Glycan biosynthesis"	"udp-glucose + dolichyl phosphate <=> udp + dolichyl beta-d-glucosyl phosphate"	"rn:R01005"
"Rh277"	"2-phospho-D-glycerate <=> phosphoenolpyruvate + H2O"	"Glycolysis / Gluconeogenesis"	"2-phospho-d-glycerate <=> phosphoenolpyruvate + h2o"	"rn:R00658"
"Rh278"	"SO4(2-) <=> SO4(2-)"	"sulfate transport"	"so4(2-) <=> so4(2-)"	"NA"
"Rh279"	"Pyridoxine + NADP(+) <=> Pyridoxal + NADPH + H(+)"	"Vitamin B6 metabolism"	"pyridoxine + nadp(+) <=> pyridoxal + nadph + h(+)"	"rn:R01708"
"Rh280"	"L-serine <=> pyruvate + NH3"	"cysteine and methionine metabolism"	"l-serine <=> pyruvate + nh3"	"NA"
