"query"	"ko"	"orginal_s288c"
"3260-YEL025C"	""	NA
"3261-YEL026W"	"K12845"	"YEL026W"
"3262-YEL027W"	"K02155"	"YEL027W;YPL234C"
"3263-YEL028W"	""	NA
"3264-YEL029C"	"K00868"	"YNR027W;YEL029C"
"3265-YEL030W_NumOfGenes_2"	""	NA
"3266-YEL031W"	"K14950"	"YEL031W"
"3267-YEL032W_NumOfGenes_2"	"K02541"	"YEL032W"
"3268-YEL033W"	""	NA
"3269-YEL034W_NumOfGenes_2"	"K03263"	"YEL034W;YJR047C"
"3270-YEL035C"	""	NA
"3271-YEL036C"	"K05533"	"YEL036C"
"3272-YEL037C"	"K10839"	"YEL037C"
"3273-YEL038W"	"K09880"	"YEL038W"
"3274-YEL039C"	"K08738"	"YJR048W;YEL039C"
"3275-YEL040W"	""	NA
"3276-YEL041W"	""	NA
"3277-YEL042W"	"K01526"	"YEL042W"
"3278-YEL043W"	""	NA
"3279-YEL044W"	"K11667"	"YEL044W"
"3280-YEL045C"	""	NA
"3281-YEL046C"	"K01620"	"YEL046C"
"3282-YEL047C"	"K18561"	"YJR051W;YEL047C"
"3283-YEL048C"	"K20312"	"YEL048C"
"3284-YEL050C_NumOfGenes_2"	""	NA
"3285-YEL050W-A"	""	NA
"3286-YEL051W_NumOfGenes_2"	"K02149"	"YEL051W"
"3287-YEL052W_NumOfGenes_2"	"K18798"	"YEL052W"
"3288-YEL053C_NumOfGenes_2"	"K20823"	"YEL053C"
"3289-YEL054C_NumOfGenes_3"	"K02870"	"YEL054C;YDR418W"
"3290-YEL055C_NumOfGenes_2"	"K02331"	"YEL055C"
"3291-YEL056W_NumOfGenes_2"	"K10752"	"YEL056W"
"3292-YEL057C_NumOfGenes_2"	""	NA
"3293-YEL058W_NumOfGenes_2"	"K01836"	"YEL058W"
"3294-YEL059C-A"	"K17802"	"YEL059C-A"
"3295-YEL059W"	""	NA
"3296-YEL060C_NumOfGenes_2"	"K01336"	"YEL060C;YOR003W"
"3297-YEL061C"	""	NA
"3298-YEL062W"	"K20405"	"YEL062W"
"3299-YEL063C"	"K16261"	"YDR160W;YDR508C;YBR068C;YBR069C;YBR132C;YEL063C;YCL025C;YFL055W;YGR191W;YKR039W;YLL061W;YNL268W;YNL270C;YOL020W;YOR348C;YPL265W;YPL274W"
"3300-YEL064C"	"K14997"	"YEL064C"
"3301-YEL065W"	"K08197"	"YOL158C;YEL065W;YHL040C;YHL047C"
"3302-YEL066W"	"K18852"	"YPR193C;YEL066W"
"3303-YEL067C"	""	NA
"3304-YEL068C"	""	NA
"3305-YEL071W"	"K21618"	"YDL178W;YEL071W"
"3306-YEL072W"	""	NA
"3307-YEL073C"	""	NA
"3308-YEL074W"	""	NA
"3309-YEL075W-A_NumOfGenes_2"	""	NA
"3310-YER001W"	"K05538"	"YER001W"
"3311-YER002W"	"K14839"	"YER002W"
"3312-YER003C"	"K01809"	"YER003C"
"3313-YER004W"	""	NA
"3314-YER005W"	"K14642"	"YER005W"
"3315-YER006C-A"	""	NA
"3316-YER006W"	"K14538"	"YER006W"
"3317-YER007C-A"	""	NA
"3318-YER007W"	"K21768"	"YER007W"
"3319-YER008C"	"K19983"	"YER008C"
"3320-YER009W_NumOfGenes_2"	""	NA
"3321-YER010C_NumOfGenes_2"	""	NA
"3322-YER011W_NumOfGenes_2"	""	NA
"3323-YER012W"	"K02734"	"YER012W"
"3324-YER013W"	"K12818"	"YER013W"
"3325-YER014C-A"	""	NA
"3326-YER014W"	"K00231"	"YER014W"
"3327-YER015W"	"K01897"	"YOR317W;YMR246W;YER015W;YIL009W"
"3328-YER016W"	"K10436"	"YER016W"
"3329-YER017C"	"K08956"	"YMR089C;YER017C"
"3330-YER018C"	"K11558"	"YER018C"
"3331-YER019C-A"	"K09481"	"YER087C-B;YER019C-A"
"3332-YER019W"	"K12351"	"YER019W"
"3333-YER020W"	"K04630"	"YER020W"
"3334-YER021W"	"K03033"	"YER021W"
"3335-YER022W"	"K15134"	"YER022W"
"3336-YER023W_NumOfGenes_2"	"K00286"	"YER023W"
"3337-YER024W"	"K00624"	"YML042W;YAR035W;YER024W"
"3338-YER025W"	"K03242"	"YER025W"
"3339-YER026C"	"K17103"	"YER026C"
"3340-YER027C"	""	NA
"3341-YER028C"	"K09467"	"YGL035C;YER028C;YGL209W"
"3342-YER029C"	"K11086"	"YER029C"
"3343-YER030W"	""	NA
"3344-YER031C"	"K07905"	"YGL210W;YER031C"
"3345-YER032W"	""	NA
"3346-YER033C"	""	NA
"3347-YER034W"	""	NA
"3348-YER035W"	"K18759"	"YER035W;YGL222C"
"3349-YER036C"	"K06185"	"YER036C"
"3350-YER037W"	"K07025"	"YER037W;YMR130W"
"3351-YER038C"	""	NA
"3352-YER038W-A_NumOfGenes_2"	""	NA
"3353-YER039C-A"	""	NA
"3354-YER040W"	"K09184"	"YFL021W;YER040W;YKR034W;YJL110C"
"3355-YER041W"	"K15339"	"YER041W"
"3356-YER042W"	"K07304"	"YER042W"
"3357-YER043C"	"K01251"	"YER043C"
"3358-YER044C"	""	NA
"3359-YER044C-A"	""	NA
"3360-YER045C"	""	NA
"3361-YER046W_NumOfGenes_2"	""	NA
"3362-YER046W-A"	""	NA
"3363-YER047C"	"K22766"	NA
"3364-YER048C"	""	NA
"3365-YER048W-A"	"K22069"	"YER048W-A"
"3366-YER049W"	""	NA
"3367-YER050C"	"K02963"	"YER050C"
"3368-YER051W"	"K10276"	"YER051W"
"3369-YER052C"	"K00928"	"YER052C"
"3370-YER053C"	"K15102"	"YER053C;YJR077C"
"3371-YER053C-A"	""	NA
"3372-YER054C"	""	NA
"3373-YER055C"	"K00765"	"YER055C"
"3374-YER056C"	""	NA
"3375-YER056C-A"	""	NA
"3376-YER057C"	""	NA
"3377-YER058W"	"K18188"	"YER058W"
"3378-YER059W"	""	NA
"3379-YER060W"	""	NA
"3380-YER060W-A"	""	NA
"3381-YER061C_NumOfGenes_2"	"K09458"	"YER061C"
"3382-YER062C_NumOfGenes_2"	"K06117"	"YER062C"
"3383-YER063W"	"K18732"	"YER063W"
"3384-YER064C"	""	NA
"3385-YER065C"	"K01637"	"YPR006C;YER065C"
"3386-YER066C-A"	""	NA
"3387-YER066W"	""	NA
"3388-YER067W_NumOfGenes_2"	""	NA
"3389-YER068C-A"	""	NA
"3390-YER068W"	"K10643"	"YER068W"
"3391-YER069W"	"K12659"	"YER069W"
"3392-YER070W"	"K10807"	"YIL066C;YER070W"
"3393-YER071C"	""	NA
"3394-YER072W"	""	NA
"3395-YER073W"	"K00128"	"YOR374W;YPL061W;YER073W;YMR110C"
"3396-YER074W"	""	NA
"3397-YER074W-A"	""	NA
"3398-YER075C"	"K19806"	"YER075C;YOR208W"
"3399-YER076C"	""	NA
"3400-YER076W-A"	""	NA
"3401-YER077C"	""	NA
"3402-YER078C"	"K18573"	"YER078C"
"3403-YER078W-A"	""	NA
"3404-YER079W"	""	NA
"3405-YER080W_NumOfGenes_2"	""	NA
"3406-YER081W"	"K00058"	"YER081W;YIL074C"
"3407-YER082C"	"K14768"	"YER082C"
"3408-YER083C"	"K22386"	NA
"3409-YER084W"	""	NA
"3410-YER085C_NumOfGenes_2"	""	NA
"3411-YER086W"	"K01754"	"YER086W"
"3412-YER087C-B"	"K09481"	"YER087C-B;YER019C-A"
"3413-YER087W_NumOfGenes_2"	"K01881"	"YER087W;YHR020W"
"3414-YER088C"	""	NA
"3415-YER088C-A"	""	NA
"3416-YER089C_NumOfGenes_2"	"K14803"	"YBL056W;YER089C"
"3417-YER090W_NumOfGenes_2"	"K01657"	"YER090W"
"3418-YER091C"	"K00549"	"YER091C"
"3419-YER091C-A"	""	NA
"3420-YER092W"	"K11679"	"YER092W"
"3421-YER093C"	"K08267"	"YER093C"
"3422-YER093C-A"	""	NA
"3423-YER094C"	"K02735"	"YER094C"
"3424-YER095W"	"K04482"	"YER095W"
"3425-YER096W"	"K07126"	"YBL061C;YDL203C;YER096W"
"3426-YER097W"	""	NA
"3427-YER098W_NumOfGenes_2"	"K11872"	"YER098W;YBL067C"
"3428-YER099C_NumOfGenes_2"	"K00948"	"YOL061W;YHL011C;YER099C;YBL068W;YKL181W"
"3429-YER100W_NumOfGenes_2"	"K04554"	"YER100W"
"3430-YER101C_NumOfGenes_2"	""	NA
"3431-YER102W_NumOfGenes_2"	"K02995"	"YER102W;YBL072C"
"3432-YER103W"	"K03283"	"YLL024C;YAL005C;YER103W;YBL075C;YNL209W"
"3433-YER104W"	""	NA
"3434-YER105C"	"K14312"	"YBL079W;YER105C"
"3435-YER106W"	"K12774"	"YER106W"
"3436-YER107C"	"K14298"	"YER107C"
"3437-YER107W-A"	""	NA
"3438-YER109C"	""	NA
"3439-YER110C"	"K20221"	"YER110C"
"3440-YER111C"	"K06649"	"YER111C"
"3441-YER112W"	"K12623"	"YER112W"
"3442-YER113C"	"K17086"	"YDR107C;YLR083C;YER113C"
"3443-YER114C"	""	NA
"3444-YER115C"	""	NA
"3445-YER116C"	"K22646"	NA
"3446-YER117W"	"K02894"	"YER117W;YBL087C"
"3447-YER118C"	"K11246"	"YER118C"
"3448-YER119C"	""	NA
"3449-YER119C-A"	""	NA
"3450-YER120W"	""	NA
"3451-YER121W"	""	NA
"3452-YER122C"	"K12493"	"YER122C"
"3453-YER123W"	"K19830"	"YER123W"
"3454-YER124C"	""	NA
"3455-YER125W"	"K10591"	"YER125W"
"3456-YER126C"	"K14842"	"YER126C"
"3457-YER127W"	"K14765"	"YER127W"
"3458-YER128W"	""	NA
"3459-YER129W"	"K21157"	"YER129W"
"3460-YER130C"	"K21545"	"YER130C"
"3461-YER131W"	"K02976"	"YGL189C;YER131W"
"3462-YER132C"	""	NA
"3463-YER133W"	"K06269"	"YER133W;YDR436W;YML016C;YPL179W"
"3464-YER134C_NumOfGenes_2"	"K17619"	"YER134C"
"3465-YER135C"	""	NA
"3466-YER136W"	"K17255"	"YER136W"
"3467-YER137C_NumOfGenes_2"	""	NA
"3468-YER139C"	"K20827"	"YDR066C;YER139C"
"3469-YER140W"	""	NA
"3470-YER141W"	"K02259"	"YER141W"
"3471-YER142C"	"K01247"	"YER142C"
"3472-YER143W"	"K11885"	"YER143W"
"3473-YER144C"	"K11839"	"YDR069C;YER144C"
"3474-YER145C"	"K07243"	"YER145C;YBR207W"
"3475-YER146W_NumOfGenes_2"	"K12624"	"YER146W"
"3476-YER147C"	"K06673"	"YER147C"
"3477-YER148W_NumOfGenes_2"	"K03120"	"YER148W"
"3478-YER149C_NumOfGenes_2"	""	NA
"3479-YER150W"	""	NA
"3480-YER151C"	"K11841"	"YER151C"
"3481-YER152C_NumOfGenes_2"	""	NA
"3482-YER153C"	"K17668"	"YER153C"
"3483-YER154W"	"K03217"	"YER154W"
"3484-YER155C"	"K19844"	"YER155C"
"3485-YER156C"	""	NA
"3486-YER157W"	"K20290"	"YER157W"
"3487-YER158C"	""	NA
"3488-YER159C_NumOfGenes_2"	"K21752"	"YER159C"
"3489-YER161C_NumOfGenes_2"	"K15193"	"YER161C"
"3490-YER162C"	"K10838"	"YER162C"
"3491-YER163C"	"K07232"	"YER163C"
"3492-YER164W"	"K11367"	"YER164W"
"3493-YER165C-A"	""	NA
"3494-YER165W"	"K13126"	"YER165W"
"3495-YER166W"	"K01530"	"YDR093W;YER166W;YIL048W;YMR162C"
"3496-YER167W"	""	NA
"3497-YER168C"	"K00974"	"YER168C"
"3498-YER169W"	"K19799"	"YER169W"
"3499-YER170W_NumOfGenes_2"	"K00939"	"YER170W;YDR226W"
"3500-YER171W"	"K10844"	"YER171W"
"3501-YER172C"	"K12854"	"YER172C"
"3502-YER173W_NumOfGenes_2"	"K06662"	"YER173W"
"3503-YER174C"	""	NA
"3504-YER175C"	"K22438"	NA
"3505-YER175W-A"	""	NA
"3506-YER176W"	""	NA
"3507-YER177W"	"K06630"	"YER177W;YDR099W"
"3508-YER178W"	"K00161"	"YER178W"
"3509-YER179W"	""	NA
"3510-YER180C"	""	NA
"3511-YER180C-A"	""	NA
"3512-YER181C"	""	NA
"3513-YER182W"	""	NA
"3514-YER183C"	"K01934"	"YER183C"
"3515-YER184C"	""	NA
"3516-YER185W"	""	NA
"3517-YER186C_NumOfGenes_2"	""	NA
"3518-YER187W"	""	NA
"3519-YER188C-A_NumOfGenes_9"	""	NA
"3520-YER188W_NumOfGenes_2"	""	NA
"3521-YFL001W_NumOfGenes_2"	"K01855"	"YFL001W"
"3522-YFL002C"	"K14809"	"YFL002C"
"3523-YFL003C"	"K08740"	"YFL003C"
"3524-YFL004W"	""	NA
"3525-YFL005W"	"K07901"	"YFL005W"
"3526-YFL007W"	"K06699"	"YFL007W"
"3527-YFL008W"	"K06636"	"YFL008W"
"3528-YFL009W"	"K03361"	"YFL009W"
"3529-YFL010C"	""	NA
"3530-YFL010W-A"	""	NA
"3531-YFL011W_NumOfGenes_2"	"K08139"	"YDL245C;YDR342C;YDR343C;YDR345C;YEL069C;YFL011W;YHR092C;YHR094C;YHR096C;YJL214W;YJL219W;YJR158W;YLR081W;YMR011W;YNR072W;YOL156W;YDL138W;YDL194W"
"3532-YFL012W"	""	NA
"3533-YFL012W-A"	""	NA
"3534-YFL013C_NumOfGenes_2"	"K11675"	"YFL013C"
"3535-YFL014W"	""	NA
"3536-YFL015W-A_NumOfGenes_2"	""	NA
"3537-YFL016C"	"K03686"	"YFL016C"
"3538-YFL017C"	"K00621"	"YFL017C"
"3539-YFL017W-A"	"K11099"	"YFL017W-A"
"3540-YFL018C"	"K00382"	"YPL017C;YFL018C"
"3541-YFL019C"	""	NA
"3542-YFL020C_NumOfGenes_2"	""	NA
"3543-YFL021W_NumOfGenes_2"	"K09184"	"YFL021W;YER040W;YKR034W;YJL110C"
"3544-YFL022C"	"K01889"	"YPR047W;YFL022C"
"3545-YFL023W_NumOfGenes_2"	"K17560"	"YFL023W"
"3546-YFL024C"	"K11322"	"YFL024C"
"3547-YFL025C"	"K05294"	"YFL025C"
"3548-YFL026W"	"K11213"	"YFL026W"
"3549-YFL027C"	"K20372"	"YFL027C"
"3550-YFL028C"	"K12608"	"YFL028C"
"3551-YFL029C"	"K06667"	"YFL029C"
"3552-YFL030W"	"K00830"	"YFL030W"
"3553-YFL031W_NumOfGenes_3"	"K16230"	"YFL031W"
"3554-YFL032W"	""	NA
"3555-YFL033C_NumOfGenes_2"	"K12767"	"YFL033C"
"3556-YFL034C-A_NumOfGenes_2"	"K02891"	"YFL034C-A;YLR061W"
"3557-YFL034C-B_NumOfGenes_2"	""	NA
"3558-YFL034W_NumOfGenes_2"	""	NA
"3559-YFL036W_NumOfGenes_2"	"K10908"	"YFL036W"
"3560-YFL037W_NumOfGenes_2"	"K07375"	"YFL037W"
"3561-YFL038C_NumOfGenes_2"	"K07874"	"YFL038C"
"3562-YFL039C_NumOfGenes_2"	"K05692"	"YFL039C"
"3563-YFL040W_NumOfGenes_2"	""	NA
"3564-YFL041W_NumOfGenes_2"	"K19791"	"YMR058W;YFL041W"
"3565-YFL041W-A"	""	NA
"3566-YFL042C_NumOfGenes_2"	""	NA
"3567-YFL044C_NumOfGenes_2"	"K13719"	"YFL044C"
"3568-YFL045C_NumOfGenes_2"	"K17497"	"YFL045C"
"3569-YFL046W_NumOfGenes_2"	""	NA
"3570-YFL047W_NumOfGenes_2"	""	NA
"3571-YFL048C_NumOfGenes_2"	"K10080"	"YLR080W;YFL048C"
"3572-YFL049W_NumOfGenes_2"	"K11776"	"YFL049W"
"3573-YFL050C"	"K16073"	"YOL130W;YKL064W;YFL050C"
"3574-YFL051C_NumOfGenes_2"	""	NA
"3575-YFL052W_NumOfGenes_2"	""	NA
"3576-YFL053W_NumOfGenes_2"	"K00863"	"YML070W;YFL053W"
"3577-YFL054C_NumOfGenes_2"	"K03441"	"YFL054C;YLL043W"
"3578-YFL055W_NumOfGenes_2"	"K16261"	"YDR160W;YDR508C;YBR068C;YBR069C;YBR132C;YEL063C;YCL025C;YFL055W;YGR191W;YKR039W;YLL061W;YNL268W;YNL270C;YOL020W;YOR348C;YPL265W;YPL274W"
"3579-YFL056C"	""	NA
"3580-YFL058W_NumOfGenes_4"	"K18278"	"YNL332W;YJR156C;YDL244W;YFL058W"
"3581-YFL059W_NumOfGenes_3"	"K06215"	"YMR096W;YFL059W;YNL333W"
"3582-YFL061W_NumOfGenes_3"	"K06035"	"YFL061W;YNL335W"
"3583-YFL067W"	""	NA
"3584-YFR001W"	"K14817"	"YFR001W"
"3585-YFR002W"	"K14309"	"YFR002W"
"3586-YFR003C"	"K17553"	"YFR003C"
"3587-YFR004W"	"K03030"	"YFR004W"
"3588-YFR005C"	"K12847"	"YFR005C"
"3589-YFR006W"	"K14213"	"YFR006W"
"3590-YFR007W"	""	NA
"3591-YFR008W"	""	NA
"3592-YFR009W_NumOfGenes_2"	"K06158"	"YFR009W"
"3593-YFR010W"	"K11843"	"YFR010W"
"3594-YFR011C_NumOfGenes_2"	"K17788"	"YFR011C"
"3595-YFR012W"	""	NA
"3596-YFR012W-A"	""	NA
"3597-YFR013W"	""	NA
"3598-YFR014C"	"K08794"	"YOL016C;YFR014C"
"3599-YFR015C"	"K00693"	"YLR258W;YFR015C"
"3600-YFR016C"	""	NA
"3601-YFR017C"	""	NA
"3602-YFR018C"	""	NA
"3603-YFR019W"	"K00921"	"YFR019W"
"3604-YFR020W"	""	NA
"3605-YFR021W"	"K17908"	"YFR021W;YPL100W"
"3606-YFR022W"	"K20062"	"YFR022W;YGR068C;YOR018W"
"3607-YFR023W"	""	NA
"3608-YFR024C-A"	""	NA
"3609-YFR025C"	"K04486"	"YFR025C"
"3610-YFR026C"	""	NA
"3611-YFR027W"	"K11268"	"YFR027W"
"3612-YFR028C"	"K06639"	"YFR028C"
"3613-YFR029W"	""	NA
"3614-YFR030W"	"K00380"	"YFR030W"
"3615-YFR031C"	"K06674"	"YFR031C"
"3616-YFR032C"	""	NA
"3617-YFR032C-A"	"K02905"	"YFR032C-A"
"3618-YFR032C-B"	""	NA
"3619-YFR033C"	"K00416"	"YFR033C"
"3620-YFR034C"	"K06658"	"YFR034C"
"3621-YFR034W-A"	""	NA
"3622-YFR035C"	""	NA
"3623-YFR036W"	"K03359"	"YFR036W"
"3624-YFR037C_NumOfGenes_2"	"K11762"	"YFR037C"
"3625-YFR038W"	"K19001"	"YFR038W"
"3626-YFR039C"	""	NA
"3627-YFR040W"	"K15457"	"YFR040W"
"3628-YFR041C"	""	NA
"3629-YFR042W"	"K21849"	"YFR042W"
"3630-YFR043C"	""	NA
"3631-YFR044C"	"K15428"	"YFR044C"
"3632-YFR045W"	""	NA
"3633-YFR046C"	""	NA
"3634-YFR047C"	"K00767"	"YFR047C"
"3635-YFR048W"	""	NA
"3636-YFR049W"	"K17417"	"YFR049W"
"3637-YFR050C"	"K02736"	"YFR050C"
"3638-YFR051C"	"K20471"	"YFR051C"
"3639-YFR052C-A"	""	NA
"3640-YFR052W"	"K03031"	"YFR052W"
"3641-YFR053C"	"K00844"	"YGL253W;YFR053C;YCL040W;YDR516C;YLR446W"
"3642-YFR054C"	""	NA
"3643-YFR055W"	"K01760"	"YFR055W;YGL184C"
"3644-YFR056C"	""	NA
"3645-YFR057W"	""	NA
"3646-YGL001C"	"K07748"	"YGL001C"
"3647-YGL002W"	"K20346"	"YAR002C-A;YHR110W;YGL002W"
"3648-YGL003C"	"K03364"	"YGL003C"
"3649-YGL004C"	"K11887"	"YGL004C"
"3650-YGL005C"	""	NA
"3651-YGL006W"	"K01537"	"YGL167C;YGL006W"
"3652-YGL006W-A"	""	NA
"3653-YGL007C-A"	""	NA
"3654-YGL007W"	""	NA
"3655-YGL008C"	"K01535"	"YGL008C;YPL036W"
"3656-YGL009C"	"K01702"	"YGL009C"
"3657-YGL010W"	""	NA
"3658-YGL011C"	"K02730"	"YGL011C"
"3659-YGL012W"	"K00223"	"YGL012W"
"3660-YGL013C"	""	NA
"3661-YGL014W_NumOfGenes_2"	""	NA
"3662-YGL015C"	""	NA
"3663-YGL016W_NumOfGenes_2"	""	NA
"3664-YGL017W_NumOfGenes_2"	"K00685"	"YGL017W"
"3665-YGL018C_NumOfGenes_2"	"K04082"	"YGL018C"
"3666-YGL019W_NumOfGenes_2"	"K03115"	"YGL019W;YOR039W"
"3667-YGL020C_NumOfGenes_2"	"K22384"	NA
"3668-YGL021W"	""	NA
"3669-YGL022W"	"K07151"	"YGL022W"
"3670-YGL023C"	""	NA
"3671-YGL024W"	""	NA
"3672-YGL025C"	"K15155"	"YGL025C"
"3673-YGL026C"	"K01694"	"YGL026C"
"3674-YGL027C"	"K01228"	"YGL027C"
"3675-YGL028C"	""	NA
"3676-YGL029W"	"K14822"	"YGL029W"
"3677-YGL030W_NumOfGenes_2"	""	NA
"3678-YGL031C_NumOfGenes_2"	"K02896"	"YLR009W;YGR148C;YGL031C"
"3679-YGL032C"	""	NA
"3680-YGL033W"	""	NA
"3681-YGL034C"	""	NA
"3682-YGL035C"	"K09467"	"YGL035C;YER028C;YGL209W"
"3683-YGL036W"	""	NA
"3684-YGL037C"	"K01440"	"YGL037C"
"3685-YGL038C"	"K05528"	"YGL038C"
"3686-YGL039W"	""	NA
"3687-YGL040C"	"K01698"	"YGL040C"
"3688-YGL041C-B"	""	NA
"3689-YGL041W-A_NumOfGenes_2"	""	NA
"3690-YGL042C"	""	NA
"3691-YGL043W"	"K03145"	"YGL043W"
"3692-YGL044C_NumOfGenes_2"	"K14407"	"YGL044C;YGR156W"
"3693-YGL045W_NumOfGenes_2"	"K20063"	"YGL045W"
"3694-YGL047W_NumOfGenes_2"	"K07432"	"YGL047W"
"3695-YGL048C_NumOfGenes_2"	"K03066"	"YGL048C"
"3696-YGL049C"	"K03260"	"YGR162W;YGL049C"
"3697-YGL050W"	"K15450"	"YGL050W"
"3698-YGL051W_NumOfGenes_2"	""	NA
"3699-YGL052W"	""	NA
"3700-YGL053W"	""	NA
"3701-YGL054C"	"K20368"	"YBR210W;YGL054C"
"3702-YGL055W_NumOfGenes_2"	"K00507"	"YGL055W"
"3703-YGL056C"	""	NA
"3704-YGL057C"	""	NA
"3705-YGL058W"	"K10573"	"YGL058W"
"3706-YGL059W"	""	NA
"3707-YGL060W"	""	NA
"3708-YGL061C"	"K11570"	"YGL061C"
"3709-YGL062W_NumOfGenes_2"	"K01958"	"YGL062W;YBR218C"
"3710-YGL063W_NumOfGenes_2"	"K15452"	"YGL063W"
"3711-YGL064C"	"K17678"	"YGL064C"
"3712-YGL065C"	"K03843"	"YGL065C"
"3713-YGL066W"	"K11365"	"YGL066W"
"3714-YGL067W"	"K03426"	"YGL067W"
"3715-YGL068W_NumOfGenes_2"	"K02935"	"YGL068W"
"3716-YGL070C"	"K03017"	"YGL070C"
"3717-YGL071W"	""	NA
"3718-YGL072C"	""	NA
"3719-YGL073W"	"K09419"	"YGL073W"
"3720-YGL074C"	""	NA
"3721-YGL075C"	""	NA
"3722-YGL077C"	"K19564"	"YGL077C"
"3723-YGL078C"	"K14811"	"YGL078C"
"3724-YGL079W"	"K22243"	NA
"3725-YGL080W"	"K22138"	"YGL080W"
"3726-YGL081W"	""	NA
"3727-YGL082W"	"K01309"	NA
"3728-YGL083W"	"K17541"	"YGL083W"
"3729-YGL084C"	""	NA
"3730-YGL085W"	""	NA
"3731-YGL086W"	"K06679"	"YGL086W"
"3732-YGL087C"	""	NA
"3733-YGL088W"	""	NA
"3734-YGL089C"	"K11234"	"YGL089C;YPL187W"
"3735-YGL090W"	"K10982"	"YGL090W"
"3736-YGL091C"	""	NA
"3737-YGL092W"	"K18720"	"YGL092W"
"3738-YGL093W"	"K11563"	"YGL093W"
"3739-YGL094C"	"K12571"	"YGL094C"
"3740-YGL095C"	"K12479"	"YGL095C"
"3741-YGL096W_NumOfGenes_2"	""	NA
"3742-YGL097W"	"K11493"	"YGL097W"
"3743-YGL098W"	"K08507"	"YGL098W"
"3744-YGL099W"	"K14539"	"YGL099W"
"3745-YGL100W"	"K14299"	"YGL100W"
"3746-YGL101W"	"K07023"	"YBR242W;YGL101W"
"3747-YGL103W_NumOfGenes_2"	""	NA
"3748-YGL104C"	""	NA
"3749-YGL105W"	"K15437"	"YGL105W"
"3750-YGL106W"	""	NA
"3751-YGL107C"	""	NA
"3752-YGL108C"	""	NA
"3753-YGL109W"	""	NA
"3754-YGL110C"	""	NA
"3755-YGL111W"	"K14841"	"YGL111W"
"3756-YGL112C"	"K03131"	"YGL112C"
"3757-YGL113W"	"K10731"	"YGL113W"
"3758-YGL114W"	""	NA
"3759-YGL115W"	"K07200"	"YGL115W"
"3760-YGL116W"	"K03363"	"YGL116W"
"3761-YGL117W"	""	NA
"3762-YGL118C"	""	NA
"3763-YGL119W"	"K08869"	"YGL119W;YLR253W;YPL109C"
"3764-YGL120C"	"K12820"	"YGL120C"
"3765-YGL121C"	""	NA
"3766-YGL122C"	""	NA
"3767-YGL123W_NumOfGenes_2"	"K02981"	"YGL123W"
"3768-YGL124C"	"K20195"	"YGL124C"
"3769-YGL125W"	"K00297"	"YGL125W;YPL023C"
"3770-YGL126W"	""	NA
"3771-YGL127C"	"K15153"	"YGL127C"
"3772-YGL128C"	""	NA
"3773-YGL129C"	"K17408"	"YGL129C"
"3774-YGL130W"	"K00987"	"YGL130W"
"3775-YGL131C_NumOfGenes_2"	""	NA
"3776-YGL133W"	""	NA
"3777-YGL134W"	""	NA
"3778-YGL135W_NumOfGenes_2"	"K02865"	"YPL220W;YGL135W"
"3779-YGL136C"	"K15508"	"YGL136C"
"3780-YGL137W"	""	NA
"3781-YGL138C"	""	NA
"3782-YGL139W"	""	NA
"3783-YGL140C"	""	NA
"3784-YGL141W"	"K10589"	"YGL141W"
"3785-YGL142C"	"K05286"	"YGL142C"
"3786-YGL143C"	"K02835"	"YGL143C"
"3787-YGL144C"	""	NA
"3788-YGL145W"	"K20474"	"YGL145W"
"3789-YGL146C"	""	NA
"3790-YGL147C"	"K02940"	"YNL067W;YGL147C"
"3791-YGL148W"	"K01736"	"YGL148W"
"3792-YGL149W"	""	NA
"3793-YGL150C"	"K11665"	"YGL150C"
"3794-YGL151W"	"K15147"	"YGL151W"
"3795-YGL153W_NumOfGenes_2"	"K13343"	"YGL153W"
"3796-YGL154C"	"K06133"	"YGL154C"
"3797-YGL155W"	"K11713"	"YGL155W"
"3798-YGL156W"	"K01191"	"YGL156W"
"3799-YGL157W"	""	NA
"3800-YGL158W"	"K08286"	"YLR248W;YGR052W;YJL057C;YKL116C;YKL171W;YMR291W;YNR047W;YOL045W;YOL128C;YOR233W;YCR008W;YHR102W;YJL165C;YJR059W;YKL168C;YKL198C;YBR059C;YCR091W;YGL158W;YHR082C;YNL161W;YAL017W"
"3801-YGL159W"	""	NA
"3802-YGL160W"	""	NA
"3803-YGL161C"	""	NA
"3804-YGL162W"	""	NA
"3805-YGL163C"	"K10875"	"YGL163C"
"3806-YGL164C"	""	NA
"3807-YGL165C"	""	NA
"3808-YGL166W"	"K09281"	"YGL166W"
"3809-YGL167C"	"K01537"	"YGL167C;YGL006W"
"3810-YGL168W"	""	NA
"3811-YGL169W"	"K07566"	"YGL169W"
"3812-YGL170C"	""	NA
"3813-YGL171W"	"K14779"	"YGL171W"
"3814-YGL172W"	"K14307"	"YGL172W"
"3815-YGL173C"	"K12618"	"YGL173C"
"3816-YGL174W"	"K13106"	"YGL174W"
"3817-YGL175C"	""	NA
"3818-YGL176C"	""	NA
"3819-YGL178W_NumOfGenes_2"	""	NA
"3820-YGL179C"	"K21158"	"YGL179C"
"3821-YGL180W"	"K08269"	"YGL180W"
"3822-YGL181W"	""	NA
"3823-YGL182C"	""	NA
"3824-YGL183C"	""	NA
"3825-YGL184C"	"K01760"	"YFR055W;YGL184C"
"3826-YGL185C"	""	NA
