"ID"	"Abbreviation"	"Description"	"Reaction"	"Description_new"	"GPR"	"Subsystem_new"	"Lower bound"	"Upper bound"	"Objective"	"Notes"	"EC Number"	"KEGG ID"
1876	"r_3202"	"PI 4,5-P2 phosphatase (1-18:0, 2-16:1), cytoplasm"	"s_0803[c] + s_3501[c]  -> s_1322[c] + s_3578[c]"	"H2O[c] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:0, 2-16:1)[c]  -> phosphate[c] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:0, 2-16:1)[c]"	"( YIL002C or YNL106C or YOR109W )"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.36"	"NA"
1877	"r_3203"	"PI 4,5-P2 phosphatase (1-18:1, 2-16:1), cytoplasm"	"s_0803[c] + s_3503[c]  -> s_1322[c] + s_3579[c]"	"H2O[c] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:1, 2-16:1)[c]  -> phosphate[c] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:1, 2-16:1)[c]"	"( YIL002C or YNL106C or YOR109W )"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.36"	"NA"
1878	"r_3204"	"PI 4,5-P2 phosphatase (1-16:0, 2-18:1), cytoplasm"	"s_0803[c] + s_3505[c]  -> s_1322[c] + s_3580[c]"	"H2O[c] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-18:1)[c]  -> phosphate[c] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-18:1)[c]"	"( YIL002C or YNL106C or YOR109W )"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.36"	"NA"
1879	"r_3205"	"PI 4,5-P2 phosphatase (1-16:1, 2-18:1), cytoplasm"	"s_0803[c] + s_3507[c]  -> s_1322[c] + s_3581[c]"	"H2O[c] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:1, 2-18:1)[c]  -> phosphate[c] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:1, 2-18:1)[c]"	"( YIL002C or YNL106C or YOR109W )"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.36"	"NA"
1880	"r_3206"	"PI 4,5-P2 phosphatase (1-18:0, 2-18:1), cytoplasm"	"s_0803[c] + s_3509[c]  -> s_1322[c] + s_3582[c]"	"H2O[c] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:0, 2-18:1)[c]  -> phosphate[c] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:0, 2-18:1)[c]"	"( YIL002C or YNL106C or YOR109W )"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.36"	"NA"
1881	"r_3207"	"PI 4,5-P2 phosphatase (1-18:1, 2-18:1), cytoplasm"	"s_0803[c] + s_3511[c]  -> s_1322[c] + s_3583[c]"	"H2O[c] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:1, 2-18:1)[c]  -> phosphate[c] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:1, 2-18:1)[c]"	"( YIL002C or YNL106C or YOR109W )"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.36"	"NA"
1882	"r_3208"	"PI 4,5-P2 phosphatase (1-16:0, 2-16:1), ER membrane"	"s_2808[erm] + s_3608[erm]  -> s_2966[erm] + s_3584[erm]"	"H2O[erm] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-16:1)[erm]  -> phosphate[erm] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-16:1)[erm]"	"YOL065C"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.36"	"NA"
1883	"r_3209"	"PI 4,5-P2 phosphatase (1-16:1, 2-16:1), ER membrane"	"s_2808[erm] + s_3609[erm]  -> s_2966[erm] + s_3585[erm]"	"H2O[erm] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:1, 2-16:1)[erm]  -> phosphate[erm] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:1, 2-16:1)[erm]"	"YOL065C"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.36"	"NA"
1884	"r_3210"	"PI 4,5-P2 phosphatase (1-18:0, 2-16:1), ER membrane"	"s_2808[erm] + s_3610[erm]  -> s_2966[erm] + s_3586[erm]"	"H2O[erm] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:0, 2-16:1)[erm]  -> phosphate[erm] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:0, 2-16:1)[erm]"	"YOL065C"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.36"	"NA"
1885	"r_3211"	"PI 4,5-P2 phosphatase (1-18:1, 2-16:1), ER membrane"	"s_2808[erm] + s_3611[erm]  -> s_2966[erm] + s_3587[erm]"	"H2O[erm] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:1, 2-16:1)[erm]  -> phosphate[erm] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:1, 2-16:1)[erm]"	"YOL065C"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.36"	"NA"
1886	"r_3212"	"PI 4,5-P2 phosphatase (1-16:0, 2-18:1), ER membrane"	"s_2808[erm] + s_3612[erm]  -> s_2966[erm] + s_3588[erm]"	"H2O[erm] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-18:1)[erm]  -> phosphate[erm] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-18:1)[erm]"	"YOL065C"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.36"	"NA"
1887	"r_3213"	"PI 4,5-P2 phosphatase (1-16:1, 2-18:1), ER membrane"	"s_2808[erm] + s_3613[erm]  -> s_2966[erm] + s_3589[erm]"	"H2O[erm] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:1, 2-18:1)[erm]  -> phosphate[erm] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:1, 2-18:1)[erm]"	"YOL065C"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.36"	"NA"
1888	"r_3214"	"PI 4,5-P2 phosphatase (1-18:0, 2-18:1), ER membrane"	"s_2808[erm] + s_3614[erm]  -> s_2966[erm] + s_3590[erm]"	"H2O[erm] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:0, 2-18:1)[erm]  -> phosphate[erm] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:0, 2-18:1)[erm]"	"YOL065C"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.36"	"NA"
1889	"r_3215"	"PI 4,5-P2 phosphatase (1-18:1, 2-18:1), ER membrane"	"s_2808[erm] + s_3615[erm]  -> s_2966[erm] + s_3591[erm]"	"H2O[erm] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:1, 2-18:1)[erm]  -> phosphate[erm] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:1, 2-18:1)[erm]"	"YOL065C"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.36"	"NA"
1890	"r_3216"	"PI 3,5-P2 phosphatase (1-16:0, 2-16:1), vacuolar membrane"	"s_2976[vm] + s_3416[vm]  -> s_2977[vm] + s_3392[vm]"	"H2O[vm] + 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:0, 2-16:1)[vm]  -> phosphate[vm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-16:1)[vm]"	"( YLR386W and YNL325C )"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.-"	"NA"
1891	"r_3217"	"PI 3,5-P2 phosphatase (1-16:1, 2-16:1), vacuolar membrane"	"s_2976[vm] + s_3417[vm]  -> s_2977[vm] + s_3393[vm]"	"H2O[vm] + 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:1, 2-16:1)[vm]  -> phosphate[vm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-16:1)[vm]"	"( YLR386W and YNL325C )"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.-"	"NA"
1892	"r_3218"	"PI 3,5-P2 phosphatase (1-18:0, 2-16:1), vacuolar membrane"	"s_2976[vm] + s_3418[vm]  -> s_2977[vm] + s_3394[vm]"	"H2O[vm] + 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:0, 2-16:1)[vm]  -> phosphate[vm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-16:1)[vm]"	"( YLR386W and YNL325C )"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.-"	"NA"
1893	"r_3219"	"PI 3,5-P2 phosphatase (1-18:1, 2-16:1), vacuolar membrane"	"s_2976[vm] + s_3419[vm]  -> s_2977[vm] + s_3395[vm]"	"H2O[vm] + 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:1, 2-16:1)[vm]  -> phosphate[vm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-16:1)[vm]"	"( YLR386W and YNL325C )"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.-"	"NA"
1894	"r_3220"	"PI 3,5-P2 phosphatase (1-16:0, 2-18:1), vacuolar membrane"	"s_2976[vm] + s_3420[vm]  -> s_2977[vm] + s_3396[vm]"	"H2O[vm] + 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:0, 2-18:1)[vm]  -> phosphate[vm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-18:1)[vm]"	"( YLR386W and YNL325C )"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.-"	"NA"
1895	"r_3221"	"PI 3,5-P2 phosphatase (1-16:1, 2-18:1), vacuolar membrane"	"s_2976[vm] + s_3421[vm]  -> s_2977[vm] + s_3397[vm]"	"H2O[vm] + 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:1, 2-18:1)[vm]  -> phosphate[vm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-18:1)[vm]"	"( YLR386W and YNL325C )"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.-"	"NA"
1896	"r_3222"	"PI 3,5-P2 phosphatase (1-18:0, 2-18:1), vacuolar membrane"	"s_2976[vm] + s_3422[vm]  -> s_2977[vm] + s_3398[vm]"	"H2O[vm] + 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:0, 2-18:1)[vm]  -> phosphate[vm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-18:1)[vm]"	"( YLR386W and YNL325C )"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.-"	"NA"
1897	"r_3223"	"PI 3,5-P2 phosphatase (1-18:1, 2-18:1), vacuolar membrane"	"s_2976[vm] + s_3423[vm]  -> s_2977[vm] + s_3399[vm]"	"H2O[vm] + 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:1, 2-18:1)[vm]  -> phosphate[vm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-18:1)[vm]"	"( YLR386W and YNL325C )"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"3.1.3.-"	"NA"
1898	"r_3224"	"DGPP phosphatase (1-16:0, 2-16:1), vacuolar membrane"	"s_2976[vm] + s_3616[vm]  -> s_2975[vm] + s_2977[vm] + s_3164[vm]"	"H2O[vm] + 1,2-diacylglycerol 3-diphosphate (1-16:0, 2-16:1)[vm]  -> phosphatidate (1-16:0, 2-16:1)[vm] + phosphate[vm] + H+[vm]"	"YDR284C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.4; 3.1.3.81"	"NA"
1899	"r_3225"	"DGPP phosphatase (1-16:1, 2-16:1), vacuolar membrane"	"s_2976[vm] + s_3617[vm]  -> s_2977[vm] + s_2981[vm] + s_3164[vm]"	"H2O[vm] + 1,2-diacylglycerol 3-diphosphate (1-16:1, 2-16:1)[vm]  -> phosphate[vm] + phosphatidate (1-16:1, 2-16:1)[vm] + H+[vm]"	"YDR284C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.4; 3.1.3.81"	"NA"
1900	"r_3226"	"DGPP phosphatase (1-18:0, 2-16:1), vacuolar membrane"	"s_2976[vm] + s_3618[vm]  -> s_2977[vm] + s_2985[vm] + s_3164[vm]"	"H2O[vm] + 1,2-diacylglycerol 3-diphosphate (1-18:0, 2-16:1)[vm]  -> phosphate[vm] + phosphatidate (1-18:0, 2-16:1)[vm] + H+[vm]"	"YDR284C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.4; 3.1.3.81"	"NA"
1901	"r_3227"	"DGPP phosphatase (1-18:1, 2-16:1), vacuolar membrane"	"s_2976[vm] + s_3619[vm]  -> s_2977[vm] + s_2989[vm] + s_3164[vm]"	"H2O[vm] + 1,2-diacylglycerol 3-diphosphate (1-18:1, 2-16:1)[vm]  -> phosphate[vm] + phosphatidate (1-18:1, 2-16:1)[vm] + H+[vm]"	"YDR284C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.4; 3.1.3.81"	"NA"
1902	"r_3228"	"DGPP phosphatase (1-16:0, 2-18:1), vacuolar membrane"	"s_2976[vm] + s_3620[vm]  -> s_2977[vm] + s_2979[vm] + s_3164[vm]"	"H2O[vm] + 1,2-diacylglycerol 3-diphosphate (1-16:0, 2-18:1)[vm]  -> phosphate[vm] + phosphatidate (1-16:0, 2-18:1)[vm] + H+[vm]"	"YDR284C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.4; 3.1.3.81"	"NA"
1903	"r_3229"	"DGPP phosphatase (1-16:1, 2-18:1), vacuolar membrane"	"s_2976[vm] + s_3621[vm]  -> s_2977[vm] + s_2983[vm] + s_3164[vm]"	"H2O[vm] + 1,2-diacylglycerol 3-diphosphate (1-16:1, 2-18:1)[vm]  -> phosphate[vm] + phosphatidate (1-16:1, 2-18:1)[vm] + H+[vm]"	"YDR284C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.4; 3.1.3.81"	"NA"
1904	"r_3230"	"DGPP phosphatase (1-18:0, 2-18:1), vacuolar membrane"	"s_2976[vm] + s_3622[vm]  -> s_2977[vm] + s_2987[vm] + s_3164[vm]"	"H2O[vm] + 1,2-diacylglycerol 3-diphosphate (1-18:0, 2-18:1)[vm]  -> phosphate[vm] + phosphatidate (1-18:0, 2-18:1)[vm] + H+[vm]"	"YDR284C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.4; 3.1.3.81"	"NA"
1905	"r_3231"	"DGPP phosphatase (1-18:1, 2-18:1), vacuolar membrane"	"s_2976[vm] + s_3623[vm]  -> s_2977[vm] + s_2991[vm] + s_3164[vm]"	"H2O[vm] + 1,2-diacylglycerol 3-diphosphate (1-18:1, 2-18:1)[vm]  -> phosphate[vm] + phosphatidate (1-18:1, 2-18:1)[vm] + H+[vm]"	"YDR284C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.4; 3.1.3.81"	"NA"
1906	"r_3232"	"DGPP phosphatase (1-16:0, 2-16:1), Golgi membrane"	"s_2994[gm] + s_3624[gm]  -> s_2993[gm] + s_2995[gm] + s_3146[gm]"	"H2O[gm] + 1,2-diacylglycerol 3-diphosphate (1-16:0, 2-16:1)[gm]  -> phosphatidate (1-16:0, 2-16:1)[gm] + phosphate[gm] + H+[gm]"	"YDR503C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.4"	"NA"
1907	"r_3233"	"DGPP phosphatase (1-16:1, 2-16:1), Golgi membrane"	"s_2994[gm] + s_3625[gm]  -> s_2995[gm] + s_2999[gm] + s_3146[gm]"	"H2O[gm] + 1,2-diacylglycerol 3-diphosphate (1-16:1, 2-16:1)[gm]  -> phosphate[gm] + phosphatidate (1-16:1, 2-16:1)[gm] + H+[gm]"	"YDR503C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.4"	"NA"
1908	"r_3234"	"DGPP phosphatase (1-18:0, 2-16:1), Golgi membrane"	"s_2994[gm] + s_3626[gm]  -> s_2995[gm] + s_3003[gm] + s_3146[gm]"	"H2O[gm] + 1,2-diacylglycerol 3-diphosphate (1-18:0, 2-16:1)[gm]  -> phosphate[gm] + phosphatidate (1-18:0, 2-16:1)[gm] + H+[gm]"	"YDR503C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.4"	"NA"
1909	"r_3235"	"DGPP phosphatase (1-18:1, 2-16:1), Golgi membrane"	"s_2994[gm] + s_3627[gm]  -> s_2995[gm] + s_3007[gm] + s_3146[gm]"	"H2O[gm] + 1,2-diacylglycerol 3-diphosphate (1-18:1, 2-16:1)[gm]  -> phosphate[gm] + phosphatidate (1-18:1, 2-16:1)[gm] + H+[gm]"	"YDR503C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.4"	"NA"
1910	"r_3236"	"DGPP phosphatase (1-16:0, 2-18:1), Golgi membrane"	"s_2994[gm] + s_3628[gm]  -> s_2995[gm] + s_2997[gm] + s_3146[gm]"	"H2O[gm] + 1,2-diacylglycerol 3-diphosphate (1-16:0, 2-18:1)[gm]  -> phosphate[gm] + phosphatidate (1-16:0, 2-18:1)[gm] + H+[gm]"	"YDR503C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.4"	"NA"
1911	"r_3237"	"DGPP phosphatase (1-16:1, 2-18:1), Golgi membrane"	"s_2994[gm] + s_3629[gm]  -> s_2995[gm] + s_3001[gm] + s_3146[gm]"	"H2O[gm] + 1,2-diacylglycerol 3-diphosphate (1-16:1, 2-18:1)[gm]  -> phosphate[gm] + phosphatidate (1-16:1, 2-18:1)[gm] + H+[gm]"	"YDR503C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.4"	"NA"
1912	"r_3238"	"DGPP phosphatase (1-18:0, 2-18:1), Golgi membrane"	"s_2994[gm] + s_3630[gm]  -> s_2995[gm] + s_3005[gm] + s_3146[gm]"	"H2O[gm] + 1,2-diacylglycerol 3-diphosphate (1-18:0, 2-18:1)[gm]  -> phosphate[gm] + phosphatidate (1-18:0, 2-18:1)[gm] + H+[gm]"	"YDR503C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.4"	"NA"
1913	"r_3239"	"DGPP phosphatase (1-18:1, 2-18:1), Golgi membrane"	"s_2994[gm] + s_3631[gm]  -> s_2995[gm] + s_3009[gm] + s_3146[gm]"	"H2O[gm] + 1,2-diacylglycerol 3-diphosphate (1-18:1, 2-18:1)[gm]  -> phosphate[gm] + phosphatidate (1-18:1, 2-18:1)[gm] + H+[gm]"	"YDR503C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.4"	"NA"
1914	"r_3240"	"lysoPA phosphatase (16:0), cytoplasm"	"s_0803[c] + s_3632[c]  -> s_1322[c] + s_3633[c]"	"H2O[c] + 1-acyl-sn-glycerol 3-phosphate (16:0)[c]  -> phosphate[c] + 1-monoglyceride (16:0)[c]"	"YER037W"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"NA"	"NA"
1915	"r_3241"	"lysoPA phosphatase (16:1), cytoplasm"	"s_0803[c] + s_3634[c]  -> s_1322[c] + s_3635[c]"	"H2O[c] + 1-acyl-sn-glycerol 3-phosphate (16:1)[c]  -> phosphate[c] + 1-monoglyceride (16:1)[c]"	"YER037W"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"NA"	"NA"
1916	"r_3242"	"lysoPA phosphatase (18:0), cytoplasm"	"s_0803[c] + s_3636[c]  -> s_1322[c] + s_3637[c]"	"H2O[c] + 1-acyl-sn-glycerol 3-phosphate (18:0)[c]  -> phosphate[c] + 1-monoglyceride (18:0)[c]"	"YER037W"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"NA"	"NA"
1917	"r_3243"	"lysoPA phosphatase (18:1), cytoplasm"	"s_0803[c] + s_3638[c]  -> s_1322[c] + s_3639[c]"	"H2O[c] + 1-acyl-sn-glycerol 3-phosphate (18:1)[c]  -> phosphate[c] + 1-monoglyceride (18:1)[c]"	"YER037W"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"NA"	"NA"
1918	"r_3244"	"lysoPA phosphatase (16:0), vacuolar membrane"	"s_2976[vm] + s_3640[vm]  -> s_2977[vm] + s_3641[vm]"	"H2O[vm] + 1-acyl-sn-glycerol 3-phosphate (16:0)[vm]  -> phosphate[vm] + 1-monoglyceride (16:0)[vm]"	"YDR284C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.4; 3.1.3.81"	"NA"
1919	"r_3245"	"lysoPA phosphatase (16:1), vacuolar membrane"	"s_2976[vm] + s_3642[vm]  -> s_2977[vm] + s_3643[vm]"	"H2O[vm] + 1-acyl-sn-glycerol 3-phosphate (16:1)[vm]  -> phosphate[vm] + 1-monoglyceride (16:1)[vm]"	"YDR284C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.4; 3.1.3.81"	"NA"
1920	"r_3246"	"lysoPA phosphatase (18:0), vacuolar membrane"	"s_2976[vm] + s_3644[vm]  -> s_2977[vm] + s_3645[vm]"	"H2O[vm] + 1-acyl-sn-glycerol 3-phosphate (18:0)[vm]  -> phosphate[vm] + 1-monoglyceride (18:0)[vm]"	"YDR284C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.4; 3.1.3.81"	"NA"
1921	"r_3247"	"lysoPA phosphatase (18:1), vacuolar membrane"	"s_2976[vm] + s_3646[vm]  -> s_2977[vm] + s_3647[vm]"	"H2O[vm] + 1-acyl-sn-glycerol 3-phosphate (18:1)[vm]  -> phosphate[vm] + 1-monoglyceride (18:1)[vm]"	"YDR284C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.4; 3.1.3.81"	"NA"
1922	"r_3248"	"lysoPA phosphatase (16:0), Golgi membrane"	"s_2994[gm] + s_3648[gm]  -> s_2995[gm] + s_3649[gm]"	"H2O[gm] + 1-acyl-sn-glycerol 3-phosphate (16:0)[gm]  -> phosphate[gm] + 1-monoglyceride (16:0)[gm]"	"YDR503C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.4"	"NA"
1923	"r_3249"	"lysoPA phosphatase (16:1), Golgi membrane"	"s_2994[gm] + s_3650[gm]  -> s_2995[gm] + s_3651[gm]"	"H2O[gm] + 1-acyl-sn-glycerol 3-phosphate (16:1)[gm]  -> phosphate[gm] + 1-monoglyceride (16:1)[gm]"	"YDR503C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.4"	"NA"
1924	"r_3250"	"lysoPA phosphatase (18:0), Golgi membrane"	"s_2994[gm] + s_3652[gm]  -> s_2995[gm] + s_3653[gm]"	"H2O[gm] + 1-acyl-sn-glycerol 3-phosphate (18:0)[gm]  -> phosphate[gm] + 1-monoglyceride (18:0)[gm]"	"YDR503C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.4"	"NA"
1925	"r_3251"	"lysoPA phosphatase (18:1), Golgi membrane"	"s_2994[gm] + s_3654[gm]  -> s_2995[gm] + s_3655[gm]"	"H2O[gm] + 1-acyl-sn-glycerol 3-phosphate (18:1)[gm]  -> phosphate[gm] + 1-monoglyceride (18:1)[gm]"	"YDR503C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.4"	"NA"
1926	"r_3252"	"ergosteryl ester hydrolase (16:1), lipid particle"	"s_3656[lp] + s_3657[lp]  -> s_0669[lp] + s_0798[lp] + s_2848[lp]"	"ergosteryl palmitoleate[lp] + H2O[lp]  -> ergosterol[lp] + H+[lp] + palmitoleate[lp]"	"( YKL140W or YLL012W )"	"steroid biosynthesis ( sce00100 )"	0	1000	0	"pmid:16835446; pmid:14640980"	"3.1.1.13"	"NA"
1927	"r_3253"	"ergosteryl ester hydrolase (18:1), lipid particle"	"s_3657[lp] + s_3658[lp]  -> s_0669[lp] + s_0798[lp] + s_2852[lp]"	"H2O[lp] + ergosteryl oleate[lp]  -> ergosterol[lp] + H+[lp] + oleate[lp]"	"( YKL140W or YLL012W )"	"steroid biosynthesis ( sce00100 )"	0	1000	0	"pmid:16835446; pmid:14640980"	"3.1.1.13"	"NA"
1928	"r_3254"	"episteryl ester hydrolase (16:1), lipid particle"	"s_3657[lp] + s_3659[lp]  -> s_0798[lp] + s_2848[lp] + s_3660[lp]"	"H2O[lp] + episteryl palmitoleate[lp]  -> H+[lp] + palmitoleate[lp] + episterol[lp]"	"YLL012W"	"steroid biosynthesis ( sce00100 )"	0	1000	0	"pmid:16835446"	"3.1.1.13"	"NA"
