"Abbreviation"	"Description"	"Reaction"	"Description_new"	"GPR"	"Lower bound"	"Upper bound"	"Objective"	"EC Number"	"References"	"KEGG ID"	"Subsystem_new"	"Subsystem_early_version"	"system_consistence"	"reaction_early_version"	"subsystem_consistence"	"reaction_consistence"
"r_2860"	"PI 4-P 5-kinase (1-16:0, 2-16:1), nucleus"	"s_0438[n] + s_3377[n]  -> s_0398[n] + s_0800[n] + s_3400[n]"	"         "	"YDR208W"	"0"	"1000"	"0"	"2.7.1.68"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[n] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-16:1)[n]  -> ADP[n] + H+[n] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-16:1)[n]"	TRUE	FALSE
"r_2861"	"PI 4-P 5-kinase (1-16:1, 2-16:1), nucleus"	"s_0438[n] + s_3379[n]  -> s_0398[n] + s_0800[n] + s_3401[n]"	"         "	"YDR208W"	"0"	"1000"	"0"	"2.7.1.68"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[n] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:1, 2-16:1)[n]  -> ADP[n] + H+[n] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:1, 2-16:1)[n]"	TRUE	FALSE
"r_2862"	"PI 4-P 5-kinase (1-18:0, 2-16:1), nucleus"	"s_0438[n] + s_3381[n]  -> s_0398[n] + s_0800[n] + s_3402[n]"	"         "	"YDR208W"	"0"	"1000"	"0"	"2.7.1.68"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[n] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:0, 2-16:1)[n]  -> ADP[n] + H+[n] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:0, 2-16:1)[n]"	TRUE	FALSE
"r_2863"	"PI 4-P 5-kinase (1-18:1, 2-16:1), nucleus"	"s_0438[n] + s_3383[n]  -> s_0398[n] + s_0800[n] + s_3403[n]"	"         "	"YDR208W"	"0"	"1000"	"0"	"2.7.1.68"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[n] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:1, 2-16:1)[n]  -> ADP[n] + H+[n] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:1, 2-16:1)[n]"	TRUE	FALSE
"r_2864"	"PI 4-P 5-kinase (1-16:0, 2-18:1), nucleus"	"s_0438[n] + s_3385[n]  -> s_0398[n] + s_0800[n] + s_3404[n]"	"         "	"YDR208W"	"0"	"1000"	"0"	"2.7.1.68"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[n] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-18:1)[n]  -> ADP[n] + H+[n] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-18:1)[n]"	TRUE	FALSE
"r_2865"	"PI 4-P 5-kinase (1-16:1, 2-18:1), nucleus"	"s_0438[n] + s_3387[n]  -> s_0398[n] + s_0800[n] + s_3405[n]"	"         "	"YDR208W"	"0"	"1000"	"0"	"2.7.1.68"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[n] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:1, 2-18:1)[n]  -> ADP[n] + H+[n] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:1, 2-18:1)[n]"	TRUE	FALSE
"r_2866"	"PI 4-P 5-kinase (1-18:0, 2-18:1), nucleus"	"s_0438[n] + s_3389[n]  -> s_0398[n] + s_0800[n] + s_3406[n]"	"         "	"YDR208W"	"0"	"1000"	"0"	"2.7.1.68"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[n] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:0, 2-18:1)[n]  -> ADP[n] + H+[n] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:0, 2-18:1)[n]"	TRUE	FALSE
"r_2867"	"PI 4-P 5-kinase (1-18:1, 2-18:1), nucleus"	"s_0438[n] + s_3391[n]  -> s_0398[n] + s_0800[n] + s_3407[n]"	"         "	"YDR208W"	"0"	"1000"	"0"	"2.7.1.68"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[n] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:1, 2-18:1)[n]  -> ADP[n] + H+[n] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:1, 2-18:1)[n]"	TRUE	FALSE
"r_2868"	"PI 4-P 5-kinase (1-16:0, 2-16:1), cell envelope"	"s_2856[ce] + s_3325[ce]  -> s_0793[ce] + s_3324[ce] + s_3408[ce]"	"         "	"YDR208W"	"0"	"1000"	"0"	"2.7.1.68"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[ce] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-16:1)[ce]  -> H+[ce] + ADP[ce] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-16:1)[ce]"	TRUE	FALSE
"r_2869"	"PI 4-P 5-kinase (1-16:1, 2-16:1), cell envelope"	"s_2856[ce] + s_3327[ce]  -> s_0793[ce] + s_3324[ce] + s_3409[ce]"	"         "	"YDR208W"	"0"	"1000"	"0"	"2.7.1.68"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[ce] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:1, 2-16:1)[ce]  -> H+[ce] + ADP[ce] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:1, 2-16:1)[ce]"	TRUE	FALSE
"r_2870"	"PI 4-P 5-kinase (1-18:0, 2-16:1), cell envelope"	"s_2856[ce] + s_3329[ce]  -> s_0793[ce] + s_3324[ce] + s_3410[ce]"	"         "	"YDR208W"	"0"	"1000"	"0"	"2.7.1.68"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[ce] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:0, 2-16:1)[ce]  -> H+[ce] + ADP[ce] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:0, 2-16:1)[ce]"	TRUE	FALSE
"r_2871"	"PI 4-P 5-kinase (1-18:1, 2-16:1), cell envelope"	"s_2856[ce] + s_3331[ce]  -> s_0793[ce] + s_3324[ce] + s_3411[ce]"	"         "	"YDR208W"	"0"	"1000"	"0"	"2.7.1.68"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[ce] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:1, 2-16:1)[ce]  -> H+[ce] + ADP[ce] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:1, 2-16:1)[ce]"	TRUE	FALSE
"r_2872"	"PI 4-P 5-kinase (1-16:0, 2-18:1), cell envelope"	"s_2856[ce] + s_3333[ce]  -> s_0793[ce] + s_3324[ce] + s_3412[ce]"	"         "	"YDR208W"	"0"	"1000"	"0"	"2.7.1.68"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[ce] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-18:1)[ce]  -> H+[ce] + ADP[ce] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-18:1)[ce]"	TRUE	FALSE
"r_2873"	"PI 4-P 5-kinase (1-16:1, 2-18:1), cell envelope"	"s_2856[ce] + s_3335[ce]  -> s_0793[ce] + s_3324[ce] + s_3413[ce]"	"         "	"YDR208W"	"0"	"1000"	"0"	"2.7.1.68"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[ce] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:1, 2-18:1)[ce]  -> H+[ce] + ADP[ce] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:1, 2-18:1)[ce]"	TRUE	FALSE
"r_2874"	"PI 4-P 5-kinase (1-18:0, 2-18:1), cell envelope"	"s_2856[ce] + s_3337[ce]  -> s_0793[ce] + s_3324[ce] + s_3414[ce]"	"         "	"YDR208W"	"0"	"1000"	"0"	"2.7.1.68"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[ce] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:0, 2-18:1)[ce]  -> H+[ce] + ADP[ce] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:0, 2-18:1)[ce]"	TRUE	FALSE
"r_2875"	"PI 4-P 5-kinase (1-18:1, 2-18:1), cell envelope"	"s_2856[ce] + s_3339[ce]  -> s_0793[ce] + s_3324[ce] + s_3415[ce]"	"         "	"YDR208W"	"0"	"1000"	"0"	"2.7.1.68"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[ce] + 1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:1, 2-18:1)[ce]  -> H+[ce] + ADP[ce] + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:1, 2-18:1)[ce]"	TRUE	FALSE
"r_2876"	"PI 3-P 5-kinase (1-16:0, 2-16:1), vacuolar membrane"	"s_3341[vm] + s_3392[vm]  -> s_3164[vm] + s_3342[vm] + s_3416[vm]"	"         "	"YFR019W"	"0"	"1000"	"0"	"2.7.1.150"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[vm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-16:1)[vm]  -> H+[vm] + ADP[vm] + 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:0, 2-16:1)[vm]"	TRUE	FALSE
"r_2877"	"PI 3-P 5-kinase (1-16:1, 2-16:1), vacuolar membrane"	"s_3341[vm] + s_3393[vm]  -> s_3164[vm] + s_3342[vm] + s_3417[vm]"	"         "	"YFR019W"	"0"	"1000"	"0"	"2.7.1.150"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[vm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-16:1)[vm]  -> H+[vm] + ADP[vm] + 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:1, 2-16:1)[vm]"	TRUE	FALSE
"r_2878"	"PI 3-P 5-kinase (1-18:0, 2-16:1), vacuolar membrane"	"s_3341[vm] + s_3394[vm]  -> s_3164[vm] + s_3342[vm] + s_3418[vm]"	"         "	"YFR019W"	"0"	"1000"	"0"	"2.7.1.150"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[vm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-16:1)[vm]  -> H+[vm] + ADP[vm] + 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:0, 2-16:1)[vm]"	TRUE	FALSE
"r_2879"	"PI 3-P 5-kinase (1-18:1, 2-16:1), vacuolar membrane"	"s_3341[vm] + s_3395[vm]  -> s_3164[vm] + s_3342[vm] + s_3419[vm]"	"         "	"YFR019W"	"0"	"1000"	"0"	"2.7.1.150"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[vm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-16:1)[vm]  -> H+[vm] + ADP[vm] + 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:1, 2-16:1)[vm]"	TRUE	FALSE
"r_2880"	"PI 3-P 5-kinase (1-16:0, 2-18:1), vacuolar membrane"	"s_3341[vm] + s_3396[vm]  -> s_3164[vm] + s_3342[vm] + s_3420[vm]"	"         "	"YFR019W"	"0"	"1000"	"0"	"2.7.1.150"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[vm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-18:1)[vm]  -> H+[vm] + ADP[vm] + 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:0, 2-18:1)[vm]"	TRUE	FALSE
"r_2881"	"PI 3-P 5-kinase (1-16:1, 2-18:1), vacuolar membrane"	"s_3341[vm] + s_3397[vm]  -> s_3164[vm] + s_3342[vm] + s_3421[vm]"	"         "	"YFR019W"	"0"	"1000"	"0"	"2.7.1.150"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[vm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-18:1)[vm]  -> H+[vm] + ADP[vm] + 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:1, 2-18:1)[vm]"	TRUE	FALSE
"r_2882"	"PI 3-P 5-kinase (1-18:0, 2-18:1), vacuolar membrane"	"s_3341[vm] + s_3398[vm]  -> s_3164[vm] + s_3342[vm] + s_3422[vm]"	"         "	"YFR019W"	"0"	"1000"	"0"	"2.7.1.150"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[vm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-18:1)[vm]  -> H+[vm] + ADP[vm] + 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:0, 2-18:1)[vm]"	TRUE	FALSE
"r_2883"	"PI 3-P 5-kinase (1-18:1, 2-18:1), vacuolar membrane"	"s_3341[vm] + s_3399[vm]  -> s_3164[vm] + s_3342[vm] + s_3423[vm]"	"         "	"YFR019W"	"0"	"1000"	"0"	"2.7.1.150"	"22345606"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[vm] + 1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-18:1)[vm]  -> H+[vm] + ADP[vm] + 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:1, 2-18:1)[vm]"	TRUE	FALSE
"r_2884"	"PE (1-16:0, 2-16:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane"	"s_2967[erm] + s_3181[erm]  <=> s_3019[erm] + s_3424[erm]"	"       "	"YNR008W"	"-1000"	"1000"	"0"	"2.3.1.158"	"22345606"	NA	"glycerolipid metabolism ( sce00561 )"	"glycerolipid metabolism ( sce00561 )"	TRUE	"diglyceride (1-16:0, 2-16:1)[erm] + phosphatidylethanolamine (1-16:0, 2-16:1)[erm]  <=> triglyceride (1-16:0, 2-16:1, 3-16:1)[erm] + 1-acylglycerophosphoethanolamine (16:0)[erm]"	TRUE	FALSE
"r_2885"	"PE (1-16:1, 2-16:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane"	"s_2967[erm] + s_3185[erm]  <=> s_3019[erm] + s_3425[erm]"	"       "	"YNR008W"	"-1000"	"1000"	"0"	"2.3.1.158"	"22345606"	NA	"glycerolipid metabolism ( sce00561 )"	"glycerolipid metabolism ( sce00561 )"	TRUE	"diglyceride (1-16:0, 2-16:1)[erm] + phosphatidylethanolamine (1-16:1, 2-16:1)[erm]  <=> triglyceride (1-16:0, 2-16:1, 3-16:1)[erm] + 1-acylglycerophosphoethanolamine (16:1)[erm]"	TRUE	FALSE
"r_2886"	"PE (1-18:0, 2-16:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane"	"s_2967[erm] + s_3187[erm]  <=> s_3019[erm] + s_3426[erm]"	"       "	"YNR008W"	"-1000"	"1000"	"0"	"2.3.1.158"	"22345606"	NA	"glycerolipid metabolism ( sce00561 )"	"glycerolipid metabolism ( sce00561 )"	TRUE	"diglyceride (1-16:0, 2-16:1)[erm] + phosphatidylethanolamine (1-18:0, 2-16:1)[erm]  <=> triglyceride (1-16:0, 2-16:1, 3-16:1)[erm] + 1-acylglycerophosphoethanolamine (18:0)[erm]"	TRUE	FALSE
"r_2887"	"PE (1-18:1, 2-16:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane"	"s_2967[erm] + s_3189[erm]  <=> s_3019[erm] + s_3427[erm]"	"       "	"YNR008W"	"-1000"	"1000"	"0"	"2.3.1.158"	"22345606"	NA	"glycerolipid metabolism ( sce00561 )"	"glycerolipid metabolism ( sce00561 )"	TRUE	"diglyceride (1-16:0, 2-16:1)[erm] + phosphatidylethanolamine (1-18:1, 2-16:1)[erm]  <=> triglyceride (1-16:0, 2-16:1, 3-16:1)[erm] + 1-acylglycerophosphoethanolamine (18:1)[erm]"	TRUE	FALSE
"r_2888"	"PE (1-16:0, 2-18:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane"	"s_2967[erm] + s_3191[erm]  <=> s_3035[erm] + s_3424[erm]"	"       "	"YNR008W"	"-1000"	"1000"	"0"	"2.3.1.158"	"22345606"	NA	"glycerolipid metabolism ( sce00561 )"	"glycerolipid metabolism ( sce00561 )"	TRUE	"diglyceride (1-16:0, 2-16:1)[erm] + phosphatidylethanolamine (1-16:0, 2-18:1)[erm]  <=> triglyceride (1-16:0, 2-16:1, 3-18:1)[erm] + 1-acylglycerophosphoethanolamine (16:0)[erm]"	TRUE	FALSE
"r_2889"	"PE (1-16:1, 2-18:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane"	"s_2967[erm] + s_3193[erm]  <=> s_3035[erm] + s_3425[erm]"	"       "	"YNR008W"	"-1000"	"1000"	"0"	"2.3.1.158"	"22345606"	NA	"glycerolipid metabolism ( sce00561 )"	"glycerolipid metabolism ( sce00561 )"	TRUE	"diglyceride (1-16:0, 2-16:1)[erm] + phosphatidylethanolamine (1-16:1, 2-18:1)[erm]  <=> triglyceride (1-16:0, 2-16:1, 3-18:1)[erm] + 1-acylglycerophosphoethanolamine (16:1)[erm]"	TRUE	FALSE
"r_2890"	"PE (1-18:0, 2-18:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane"	"s_2967[erm] + s_3195[erm]  <=> s_3035[erm] + s_3426[erm]"	"       "	"YNR008W"	"-1000"	"1000"	"0"	"2.3.1.158"	"22345606"	NA	"glycerolipid metabolism ( sce00561 )"	"glycerolipid metabolism ( sce00561 )"	TRUE	"diglyceride (1-16:0, 2-16:1)[erm] + phosphatidylethanolamine (1-18:0, 2-18:1)[erm]  <=> triglyceride (1-16:0, 2-16:1, 3-18:1)[erm] + 1-acylglycerophosphoethanolamine (18:0)[erm]"	TRUE	FALSE
"r_2891"	"PE (1-18:1, 2-18:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane"	"s_2967[erm] + s_3197[erm]  <=> s_3035[erm] + s_3427[erm]"	"       "	"YNR008W"	"-1000"	"1000"	"0"	"2.3.1.158"	"22345606"	NA	"glycerolipid metabolism ( sce00561 )"	"glycerolipid metabolism ( sce00561 )"	TRUE	"diglyceride (1-16:0, 2-16:1)[erm] + phosphatidylethanolamine (1-18:1, 2-18:1)[erm]  <=> triglyceride (1-16:0, 2-16:1, 3-18:1)[erm] + 1-acylglycerophosphoethanolamine (18:1)[erm]"	TRUE	FALSE
"r_2892"	"PE (1-16:0, 2-16:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane"	"s_2969[erm] + s_3181[erm]  <=> s_3021[erm] + s_3424[erm]"	"       "	"YNR008W"	"-1000"	"1000"	"0"	"2.3.1.158"	"22345606"	NA	"glycerolipid metabolism ( sce00561 )"	"glycerolipid metabolism ( sce00561 )"	TRUE	"diglyceride (1-16:1, 2-16:1)[erm] + phosphatidylethanolamine (1-16:0, 2-16:1)[erm]  <=> triglyceride (1-16:1, 2-16:1, 3-16:1)[erm] + 1-acylglycerophosphoethanolamine (16:0)[erm]"	TRUE	FALSE
"r_2893"	"PE (1-16:1, 2-16:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane"	"s_2969[erm] + s_3185[erm]  <=> s_3021[erm] + s_3425[erm]"	"       "	"YNR008W"	"-1000"	"1000"	"0"	"2.3.1.158"	"22345606"	NA	"glycerolipid metabolism ( sce00561 )"	"glycerolipid metabolism ( sce00561 )"	TRUE	"diglyceride (1-16:1, 2-16:1)[erm] + phosphatidylethanolamine (1-16:1, 2-16:1)[erm]  <=> triglyceride (1-16:1, 2-16:1, 3-16:1)[erm] + 1-acylglycerophosphoethanolamine (16:1)[erm]"	TRUE	FALSE
"r_2894"	"PE (1-18:0, 2-16:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane"	"s_2969[erm] + s_3187[erm]  <=> s_3021[erm] + s_3426[erm]"	"       "	"YNR008W"	"-1000"	"1000"	"0"	"2.3.1.158"	"22345606"	NA	"glycerolipid metabolism ( sce00561 )"	"glycerolipid metabolism ( sce00561 )"	TRUE	"diglyceride (1-16:1, 2-16:1)[erm] + phosphatidylethanolamine (1-18:0, 2-16:1)[erm]  <=> triglyceride (1-16:1, 2-16:1, 3-16:1)[erm] + 1-acylglycerophosphoethanolamine (18:0)[erm]"	TRUE	FALSE
"r_2895"	"PE (1-18:1, 2-16:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane"	"s_2969[erm] + s_3189[erm]  <=> s_3021[erm] + s_3427[erm]"	"       "	"YNR008W"	"-1000"	"1000"	"0"	"2.3.1.158"	"22345606"	NA	"glycerolipid metabolism ( sce00561 )"	"glycerolipid metabolism ( sce00561 )"	TRUE	"diglyceride (1-16:1, 2-16:1)[erm] + phosphatidylethanolamine (1-18:1, 2-16:1)[erm]  <=> triglyceride (1-16:1, 2-16:1, 3-16:1)[erm] + 1-acylglycerophosphoethanolamine (18:1)[erm]"	TRUE	FALSE
"r_2896"	"PE (1-16:0, 2-18:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane"	"s_2969[erm] + s_3191[erm]  <=> s_3037[erm] + s_3424[erm]"	"       "	"YNR008W"	"-1000"	"1000"	"0"	"2.3.1.158"	"22345606"	NA	"glycerolipid metabolism ( sce00561 )"	"glycerolipid metabolism ( sce00561 )"	TRUE	"diglyceride (1-16:1, 2-16:1)[erm] + phosphatidylethanolamine (1-16:0, 2-18:1)[erm]  <=> triglyceride (1-16:1, 2-16:1, 3-18:1)[erm] + 1-acylglycerophosphoethanolamine (16:0)[erm]"	TRUE	FALSE
"r_2897"	"PE (1-16:1, 2-18:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane"	"s_2969[erm] + s_3193[erm]  <=> s_3037[erm] + s_3425[erm]"	"       "	"YNR008W"	"-1000"	"1000"	"0"	"2.3.1.158"	"22345606"	NA	"glycerolipid metabolism ( sce00561 )"	"glycerolipid metabolism ( sce00561 )"	TRUE	"diglyceride (1-16:1, 2-16:1)[erm] + phosphatidylethanolamine (1-16:1, 2-18:1)[erm]  <=> triglyceride (1-16:1, 2-16:1, 3-18:1)[erm] + 1-acylglycerophosphoethanolamine (16:1)[erm]"	TRUE	FALSE
"r_2898"	"PE (1-18:0, 2-18:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane"	"s_2969[erm] + s_3195[erm]  <=> s_3037[erm] + s_3426[erm]"	"       "	"YNR008W"	"-1000"	"1000"	"0"	"2.3.1.158"	"22345606"	NA	"glycerolipid metabolism ( sce00561 )"	"glycerolipid metabolism ( sce00561 )"	TRUE	"diglyceride (1-16:1, 2-16:1)[erm] + phosphatidylethanolamine (1-18:0, 2-18:1)[erm]  <=> triglyceride (1-16:1, 2-16:1, 3-18:1)[erm] + 1-acylglycerophosphoethanolamine (18:0)[erm]"	TRUE	FALSE
"r_2899"	"PE (1-18:1, 2-18:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane"	"s_2969[erm] + s_3197[erm]  <=> s_3037[erm] + s_3427[erm]"	"       "	"YNR008W"	"-1000"	"1000"	"0"	"2.3.1.158"	"22345606"	NA	"glycerolipid metabolism ( sce00561 )"	"glycerolipid metabolism ( sce00561 )"	TRUE	"diglyceride (1-16:1, 2-16:1)[erm] + phosphatidylethanolamine (1-18:1, 2-18:1)[erm]  <=> triglyceride (1-16:1, 2-16:1, 3-18:1)[erm] + 1-acylglycerophosphoethanolamine (18:1)[erm]"	TRUE	FALSE
"r_2900"	"PE (1-16:0, 2-16:1) diacylglycerol (1-18:0, 2-16:1) acyltransferase, ER membrane"	"s_2971[erm] + s_3181[erm]  <=> s_3023[erm] + s_3424[erm]"	"       "	"YNR008W"	"-1000"	"1000"	"0"	"2.3.1.158"	"22345606"	NA	"glycerolipid metabolism ( sce00561 )"	"glycerolipid metabolism ( sce00561 )"	TRUE	"diglyceride (1-18:0, 2-16:1)[erm] + phosphatidylethanolamine (1-16:0, 2-16:1)[erm]  <=> triglyceride (1-18:0, 2-16:1, 3-16:1)[erm] + 1-acylglycerophosphoethanolamine (16:0)[erm]"	TRUE	FALSE
"r_2901"	"PE (1-16:1, 2-16:1) diacylglycerol (1-18:0, 2-16:1) acyltransferase, ER membrane"	"s_2971[erm] + s_3185[erm]  <=> s_3023[erm] + s_3425[erm]"	"       "	"YNR008W"	"-1000"	"1000"	"0"	"2.3.1.158"	"22345606"	NA	"glycerolipid metabolism ( sce00561 )"	"glycerolipid metabolism ( sce00561 )"	TRUE	"diglyceride (1-18:0, 2-16:1)[erm] + phosphatidylethanolamine (1-16:1, 2-16:1)[erm]  <=> triglyceride (1-18:0, 2-16:1, 3-16:1)[erm] + 1-acylglycerophosphoethanolamine (16:1)[erm]"	TRUE	FALSE
"r_2902"	"PE (1-18:0, 2-16:1) diacylglycerol (1-18:0, 2-16:1) acyltransferase, ER membrane"	"s_2971[erm] + s_3187[erm]  <=> s_3023[erm] + s_3426[erm]"	"       "	"YNR008W"	"-1000"	"1000"	"0"	"2.3.1.158"	"22345606"	NA	"glycerolipid metabolism ( sce00561 )"	"glycerolipid metabolism ( sce00561 )"	TRUE	"diglyceride (1-18:0, 2-16:1)[erm] + phosphatidylethanolamine (1-18:0, 2-16:1)[erm]  <=> triglyceride (1-18:0, 2-16:1, 3-16:1)[erm] + 1-acylglycerophosphoethanolamine (18:0)[erm]"	TRUE	FALSE
