Abbreviation	Subsystem_new	Removed duplicated subsystems and evidences for the choosed subystem
r_2884	glycerolipid metabolism ( sce00561 )	No change
r_2885	glycerolipid metabolism ( sce00561 )	No change
r_2886	glycerolipid metabolism ( sce00561 )	No change
r_2887	glycerolipid metabolism ( sce00561 )	No change
r_2888	glycerolipid metabolism ( sce00561 )	No change
r_2889	glycerolipid metabolism ( sce00561 )	No change
r_2890	glycerolipid metabolism ( sce00561 )	No change
r_2891	glycerolipid metabolism ( sce00561 )	No change
r_2892	glycerolipid metabolism ( sce00561 )	No change
r_2893	glycerolipid metabolism ( sce00561 )	No change
r_2894	glycerolipid metabolism ( sce00561 )	No change
r_2895	glycerolipid metabolism ( sce00561 )	No change
r_2896	glycerolipid metabolism ( sce00561 )	No change
r_2897	glycerolipid metabolism ( sce00561 )	No change
r_2898	glycerolipid metabolism ( sce00561 )	No change
r_2899	glycerolipid metabolism ( sce00561 )	No change
r_2900	glycerolipid metabolism ( sce00561 )	No change
r_2901	glycerolipid metabolism ( sce00561 )	No change
r_2902	glycerolipid metabolism ( sce00561 )	No change
r_2903	glycerolipid metabolism ( sce00561 )	No change
r_2904	glycerolipid metabolism ( sce00561 )	No change
r_2905	glycerolipid metabolism ( sce00561 )	No change
r_2906	glycerolipid metabolism ( sce00561 )	No change
r_2907	glycerolipid metabolism ( sce00561 )	No change
r_2908	glycerolipid metabolism ( sce00561 )	No change
r_2909	glycerolipid metabolism ( sce00561 )	No change
r_2910	glycerolipid metabolism ( sce00561 )	No change
r_2911	glycerolipid metabolism ( sce00561 )	No change
r_2912	glycerolipid metabolism ( sce00561 )	No change
r_2913	glycerolipid metabolism ( sce00561 )	No change
r_2914	glycerolipid metabolism ( sce00561 )	No change
r_2915	glycerolipid metabolism ( sce00561 )	No change
r_2916	glycerolipid metabolism ( sce00561 )	No change
r_2917	glycerolipid metabolism ( sce00561 )	No change
r_2918	glycerolipid metabolism ( sce00561 )	No change
r_2919	glycerolipid metabolism ( sce00561 )	No change
r_2920	glycerolipid metabolism ( sce00561 )	No change
r_2921	glycerolipid metabolism ( sce00561 )	No change
r_2922	glycerolipid metabolism ( sce00561 )	No change
r_2923	glycerolipid metabolism ( sce00561 )	No change
r_2924	glycerolipid metabolism ( sce00561 )	No change
r_2925	glycerolipid metabolism ( sce00561 )	No change
r_2926	glycerolipid metabolism ( sce00561 )	No change
r_2927	glycerolipid metabolism ( sce00561 )	No change
r_2928	glycerolipid metabolism ( sce00561 )	No change
r_2929	glycerolipid metabolism ( sce00561 )	No change
r_2930	glycerolipid metabolism ( sce00561 )	No change
r_2931	glycerolipid metabolism ( sce00561 )	No change
r_2932	glycerolipid metabolism ( sce00561 )	No change
r_2933	glycerolipid metabolism ( sce00561 )	No change
r_2934	glycerolipid metabolism ( sce00561 )	No change
r_2935	glycerolipid metabolism ( sce00561 )	No change
r_2936	glycerolipid metabolism ( sce00561 )	No change
r_2937	glycerolipid metabolism ( sce00561 )	No change
r_2938	glycerolipid metabolism ( sce00561 )	No change
r_2939	glycerolipid metabolism ( sce00561 )	No change
r_2940	glycerolipid metabolism ( sce00561 )	No change
r_2941	glycerolipid metabolism ( sce00561 )	No change
r_2942	glycerolipid metabolism ( sce00561 )	No change
r_2943	glycerolipid metabolism ( sce00561 )	No change
r_2944	glycerolipid metabolism ( sce00561 )	No change
r_2945	glycerolipid metabolism ( sce00561 )	No change
r_2946	glycerolipid metabolism ( sce00561 )	No change
r_2947	glycerolipid metabolism ( sce00561 )	No change
r_2948	glycerolipid metabolism ( sce00561 )	No change
r_2949	glycerolipid metabolism ( sce00561 )	No change
r_2950	glycerolipid metabolism ( sce00561 )	No change
r_2951	glycerolipid metabolism ( sce00561 )	No change
r_2952	glycerolipid metabolism ( sce00561 )	No change
r_2953	glycerolipid metabolism ( sce00561 )	No change
r_2954	glycerolipid metabolism ( sce00561 )	No change
r_2955	glycerolipid metabolism ( sce00561 )	No change
r_2956	glycerolipid metabolism ( sce00561 )	No change
r_2957	glycerolipid metabolism ( sce00561 )	No change
r_2958	glycerolipid metabolism ( sce00561 )	No change
r_2959	glycerolipid metabolism ( sce00561 )	No change
r_2960	glycerolipid metabolism ( sce00561 )	No change
r_2961	glycerolipid metabolism ( sce00561 )	No change
r_2962	glycerolipid metabolism ( sce00561 )	No change
r_2963	glycerolipid metabolism ( sce00561 )	No change
r_2964	glycerolipid metabolism ( sce00561 )	No change
r_2965	glycerolipid metabolism ( sce00561 )	No change
r_2966	glycerolipid metabolism ( sce00561 )	No change
r_2967	glycerolipid metabolism ( sce00561 )	No change
r_2968	glycerolipid metabolism ( sce00561 )	No change
r_2969	glycerolipid metabolism ( sce00561 )	No change
r_2970	glycerolipid metabolism ( sce00561 )	No change
r_2971	glycerolipid metabolism ( sce00561 )	No change
r_2972	glycerolipid metabolism ( sce00561 )	No change
r_2973	glycerolipid metabolism ( sce00561 )	No change
r_2974	glycerolipid metabolism ( sce00561 )	No change
r_2975	glycerolipid metabolism ( sce00561 )	No change
r_2976	glycerolipid metabolism ( sce00561 )	No change
r_2977	glycerolipid metabolism ( sce00561 )	No change
r_2978	glycerolipid metabolism ( sce00561 )	No change
r_2979	glycerolipid metabolism ( sce00561 )	No change
r_2980	glycerolipid metabolism ( sce00561 )	No change
r_2981	glycerolipid metabolism ( sce00561 )	No change
r_2982	glycerolipid metabolism ( sce00561 )	No change
r_2983	glycerolipid metabolism ( sce00561 )	No change
r_2984	glycerolipid metabolism ( sce00561 )	No change
r_2985	glycerolipid metabolism ( sce00561 )	No change
r_2986	glycerolipid metabolism ( sce00561 )	No change
r_2987	glycerolipid metabolism ( sce00561 )	No change
r_2988	glycerolipid metabolism ( sce00561 )	No change
r_2989	glycerolipid metabolism ( sce00561 )	No change
r_2990	glycerolipid metabolism ( sce00561 )	No change
r_2991	glycerolipid metabolism ( sce00561 )	No change
r_2992	glycerolipid metabolism ( sce00561 )	No change
r_2993	glycerolipid metabolism ( sce00561 )	No change
r_2994	glycerolipid metabolism ( sce00561 )	No change
r_2995	glycerolipid metabolism ( sce00561 )	No change
r_2996	glycerolipid metabolism ( sce00561 )	No change
r_2997	glycerolipid metabolism ( sce00561 )	No change
r_2998	glycerolipid metabolism ( sce00561 )	No change
r_2999	glycerolipid metabolism ( sce00561 )	No change
r_3000	glycerolipid metabolism ( sce00561 )	No change
r_3001	glycerolipid metabolism ( sce00561 )	No change
r_3002	glycerolipid metabolism ( sce00561 )	No change
r_3003	glycerolipid metabolism ( sce00561 )	No change
r_3004	glycerolipid metabolism ( sce00561 )	No change
r_3005	glycerolipid metabolism ( sce00561 )	No change
r_3006	glycerolipid metabolism ( sce00561 )	No change
r_3007	glycerolipid metabolism ( sce00561 )	No change
r_3008	glycerolipid metabolism ( sce00561 )	No change
r_3009	glycerolipid metabolism ( sce00561 )	No change
r_3010	glycerolipid metabolism ( sce00561 )	No change
r_3011	glycerolipid metabolism ( sce00561 )	No change
r_3022	glycerophospholipid metabolism ( sce00564 )	No change
r_3023	glycerophospholipid metabolism ( sce00564 )	No change
r_3024	glycerophospholipid metabolism ( sce00564 )	No change
r_3025	glycerophospholipid metabolism ( sce00564 )	No change
r_3026	glycerophospholipid metabolism ( sce00564 )	No change
r_3027	glycerophospholipid metabolism ( sce00564 )	No change
r_3028	glycerophospholipid metabolism ( sce00564 )	No change
r_3029	glycerophospholipid metabolism ( sce00564 )	No change
r_3030	glycerophospholipid metabolism ( sce00564 )	No change
r_3031	glycerophospholipid metabolism ( sce00564 )	No change
r_3032	glycerophospholipid metabolism ( sce00564 )	No change
r_3033	glycerophospholipid metabolism ( sce00564 )	No change
r_3034	glycerophospholipid metabolism ( sce00564 )	No change
r_3035	glycerophospholipid metabolism ( sce00564 )	No change
r_3036	glycerophospholipid metabolism ( sce00564 )	No change
r_3037	glycerophospholipid metabolism ( sce00564 )	No change
r_3038	glycerophospholipid metabolism ( sce00564 )	No change
r_3039	glycerophospholipid metabolism ( sce00564 )	No change
r_3040	glycerophospholipid metabolism ( sce00564 )	No change
r_3041	glycerophospholipid metabolism ( sce00564 )	No change
r_3042	glycerophospholipid metabolism ( sce00564 )	No change
r_3043	glycerophospholipid metabolism ( sce00564 )	No change
r_3044	glycerophospholipid metabolism ( sce00564 )	No change
r_3045	glycerophospholipid metabolism ( sce00564 )	No change
r_3046	glycerophospholipid metabolism ( sce00564 )	No change
r_3047	glycerophospholipid metabolism ( sce00564 )	No change
r_3048	glycerophospholipid metabolism ( sce00564 )	No change
r_3049	glycerophospholipid metabolism ( sce00564 )	No change
r_3050	glycerophospholipid metabolism ( sce00564 )	No change
r_3051	glycerophospholipid metabolism ( sce00564 )	No change
r_3052	glycerophospholipid metabolism ( sce00564 )	No change
r_3053	glycerophospholipid metabolism ( sce00564 )	No change
r_3054	glycerophospholipid metabolism ( sce00564 )	No change
r_3055	glycerophospholipid metabolism ( sce00564 )	No change
r_3056	glycerophospholipid metabolism ( sce00564 )	No change
r_3057	glycerophospholipid metabolism ( sce00564 )	No change
r_3058	glycerophospholipid metabolism ( sce00564 )	No change
r_3059	glycerophospholipid metabolism ( sce00564 )	No change
r_3060	glycerophospholipid metabolism ( sce00564 )	No change
r_3061	glycerophospholipid metabolism ( sce00564 )	No change
r_3062	glycerophospholipid metabolism ( sce00564 )	No change
r_3063	glycerophospholipid metabolism ( sce00564 )	No change
r_3064	glycerophospholipid metabolism ( sce00564 )	No change
r_3065	glycerophospholipid metabolism ( sce00564 )	No change
r_3066	glycerophospholipid metabolism ( sce00564 )	No change
r_3067	glycerophospholipid metabolism ( sce00564 )	No change
r_3068	glycerophospholipid metabolism ( sce00564 )	No change
r_3069	glycerophospholipid metabolism ( sce00564 )	No change
r_3070	glycerophospholipid metabolism ( sce00564 )	No change
r_3071	glycerophospholipid metabolism ( sce00564 )	No change
r_3072	glycerophospholipid metabolism ( sce00564 )	No change
r_3073	glycerophospholipid metabolism ( sce00564 )	No change
r_3074	glycerophospholipid metabolism ( sce00564 )	No change
r_3075	glycerophospholipid metabolism ( sce00564 )	No change
r_3076	glycerophospholipid metabolism ( sce00564 )	No change
r_3077	glycerophospholipid metabolism ( sce00564 )	No change
r_3078	glycerophospholipid metabolism ( sce00564 )	No change
r_3079	glycerophospholipid metabolism ( sce00564 )	No change
r_3080	glycerophospholipid metabolism ( sce00564 )	No change
r_3081	glycerophospholipid metabolism ( sce00564 )	No change
r_3082	inositol phosphate metabolism ( sce00562 )	"/ sce04070 Phosphatidylinositol signaling system / sce04933 AGE-RAGE signaling pathway in diabetic complications; Phospholipid biosynthesis ito980"
r_3083	inositol phosphate metabolism ( sce00562 )	"/ sce04070 Phosphatidylinositol signaling system / sce04933 AGE-RAGE signaling pathway in diabetic complications; Phospholipid biosynthesis ito980"
r_3084	inositol phosphate metabolism ( sce00562 )	"/ sce04070 Phosphatidylinositol signaling system / sce04933 AGE-RAGE signaling pathway in diabetic complications; Phospholipid biosynthesis ito980"
r_3085	inositol phosphate metabolism ( sce00562 )	"/ sce04070 Phosphatidylinositol signaling system / sce04933 AGE-RAGE signaling pathway in diabetic complications; Phospholipid biosynthesis ito980"
r_3086	inositol phosphate metabolism ( sce00562 )	"/ sce04070 Phosphatidylinositol signaling system / sce04933 AGE-RAGE signaling pathway in diabetic complications; Phospholipid biosynthesis ito980"
r_3087	inositol phosphate metabolism ( sce00562 )	"/ sce04070 Phosphatidylinositol signaling system / sce04933 AGE-RAGE signaling pathway in diabetic complications; Phospholipid biosynthesis ito980"
r_3088	inositol phosphate metabolism ( sce00562 )	"/ sce04070 Phosphatidylinositol signaling system / sce04933 AGE-RAGE signaling pathway in diabetic complications; Phospholipid biosynthesis ito980"
r_3089	inositol phosphate metabolism ( sce00562 )	"/ sce04070 Phosphatidylinositol signaling system / sce04933 AGE-RAGE signaling pathway in diabetic complications; Phospholipid biosynthesis ito980"
r_3090	inositol phosphate metabolism ( sce00562 )	"/ sce04070 Phosphatidylinositol signaling system / sce04933 AGE-RAGE signaling pathway in diabetic complications; Phospholipid biosynthesis ito980"
r_3091	inositol phosphate metabolism ( sce00562 )	"/ sce04070 Phosphatidylinositol signaling system / sce04933 AGE-RAGE signaling pathway in diabetic complications; Phospholipid biosynthesis ito980"
r_3092	inositol phosphate metabolism ( sce00562 )	"/ sce04070 Phosphatidylinositol signaling system / sce04933 AGE-RAGE signaling pathway in diabetic complications; Phospholipid biosynthesis ito980"
r_3093	inositol phosphate metabolism ( sce00562 )	"/ sce04070 Phosphatidylinositol signaling system / sce04933 AGE-RAGE signaling pathway in diabetic complications; Phospholipid biosynthesis ito980"
r_3094	inositol phosphate metabolism ( sce00562 )	"/ sce04070 Phosphatidylinositol signaling system / sce04933 AGE-RAGE signaling pathway in diabetic complications; Phospholipid biosynthesis ito980"
r_3095	inositol phosphate metabolism ( sce00562 )	"/ sce04070 Phosphatidylinositol signaling system / sce04933 AGE-RAGE signaling pathway in diabetic complications; Phospholipid biosynthesis ito980"
r_3096	inositol phosphate metabolism ( sce00562 )	"/ sce04070 Phosphatidylinositol signaling system / sce04933 AGE-RAGE signaling pathway in diabetic complications; Phospholipid biosynthesis ito980"
r_3097	inositol phosphate metabolism ( sce00562 )	"/ sce04070 Phosphatidylinositol signaling system / sce04933 AGE-RAGE signaling pathway in diabetic complications; Phospholipid biosynthesis ito980"
r_3098	glycerophospholipid metabolism ( sce00564 )	No change
r_3099	glycerophospholipid metabolism ( sce00564 )	No change
r_3100	glycerophospholipid metabolism ( sce00564 )	No change
r_3101	glycerophospholipid metabolism ( sce00564 )	No change
r_3102	glycerophospholipid metabolism ( sce00564 )	No change
r_3103	glycerophospholipid metabolism ( sce00564 )	No change
r_3104	glycerophospholipid metabolism ( sce00564 )	"/ sce04144 Endocytosis; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3105	glycerophospholipid metabolism ( sce00564 )	"/ sce04144 Endocytosis; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3106	glycerophospholipid metabolism ( sce00564 )	"/ sce04144 Endocytosis; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3107	glycerophospholipid metabolism ( sce00564 )	"/ sce04144 Endocytosis; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3108	glycerophospholipid metabolism ( sce00564 )	"/ sce04144 Endocytosis; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3109	glycerophospholipid metabolism ( sce00564 )	"/ sce04144 Endocytosis; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3110	glycerophospholipid metabolism ( sce00564 )	"/ sce04144 Endocytosis; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3111	glycerophospholipid metabolism ( sce00564 )	"/ sce04144 Endocytosis; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3112	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3113	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3114	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3115	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3116	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3117	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3118	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3119	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3120	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3121	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3122	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3123	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3124	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3125	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3126	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3127	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3128	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3129	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3130	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3131	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3132	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3133	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3134	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3135	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3136	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3137	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3138	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3139	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3140	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3141	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3142	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3143	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3144	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3145	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3146	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3147	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3148	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3149	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3150	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3151	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3152	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3153	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3154	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3155	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3156	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3157	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3158	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3159	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3160	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3161	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3162	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3163	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3164	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3165	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3166	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3167	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3168	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3169	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3170	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3171	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3172	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3173	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3174	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3175	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3176	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3177	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3178	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3179	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3180	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3181	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3182	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3183	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3184	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3185	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3186	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3187	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3188	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3189	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3190	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3191	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3192	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3193	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3194	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3195	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3196	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3197	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3198	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3199	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3200	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3201	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3202	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3203	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3204	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3205	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3206	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3207	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3208	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3209	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3210	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3211	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3212	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3213	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3214	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3215	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3216	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3217	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3218	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3219	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3220	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3221	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3222	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3223	inositol phosphate metabolism ( sce00562 )	signalling system and autophagy
r_3224	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	Phospholipid biosynthesis ito980
r_3225	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	Phospholipid biosynthesis ito980
r_3226	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	Phospholipid biosynthesis ito980
r_3227	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	Phospholipid biosynthesis ito980
r_3228	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	Phospholipid biosynthesis ito980
r_3229	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	Phospholipid biosynthesis ito980
r_3230	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	Phospholipid biosynthesis ito980
r_3231	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	Phospholipid biosynthesis ito980
r_3232	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	Phospholipid biosynthesis ito980
r_3233	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	Phospholipid biosynthesis ito980
r_3234	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	Phospholipid biosynthesis ito980
r_3235	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	Phospholipid biosynthesis ito980
r_3236	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	Phospholipid biosynthesis ito980
r_3237	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	Phospholipid biosynthesis ito980
r_3238	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	Phospholipid biosynthesis ito980
r_3239	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	Phospholipid biosynthesis ito980
r_3240	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg
r_3241	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg
r_3242	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg
r_3243	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg
r_3244	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg
r_3245	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg
r_3246	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg
r_3247	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg
r_3248	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	Phospholipid biosynthesis ito980
r_3249	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	Phospholipid biosynthesis ito980
r_3250	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	Phospholipid biosynthesis ito980
r_3251	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	Phospholipid biosynthesis ito980
r_3252	steroid biosynthesis ( sce00100 )	No change
r_3253	steroid biosynthesis ( sce00100 )	No change
r_3254	steroid biosynthesis ( sce00100 )	Sterol biosynthesis ito980
r_3255	steroid biosynthesis ( sce00100 )	Sterol biosynthesis ito980
r_3256	steroid biosynthesis ( sce00100 )	Sterol biosynthesis ito980
r_3257	steroid biosynthesis ( sce00100 )	Sterol biosynthesis ito980
r_3258	steroid biosynthesis ( sce00100 )	Sterol biosynthesis ito980
r_3259	steroid biosynthesis ( sce00100 )	Sterol biosynthesis ito980
r_3260	steroid biosynthesis ( sce00100 )	Sterol biosynthesis ito980
r_3261	steroid biosynthesis ( sce00100 )	Sterol biosynthesis ito980
r_3262	steroid biosynthesis ( sce00100 )	Sterol biosynthesis ito980
r_3263	steroid biosynthesis ( sce00100 )	Sterol biosynthesis ito980
r_3264	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3265	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3266	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3267	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3268	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3269	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3270	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
